nice: cannot set niceness: Permission denied
Precompiling packages...
   1829.2 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   3659.1 ms  ✓ DiffEqBase
   2039.9 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   2221.5 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   6718.3 ms  ✓ OrdinaryDiffEqCore
   2510.3 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
  21501.4 ms  ✓ OrdinaryDiffEqTsit5
   3488.1 ms  ✓ DynamicalSystemsBase
   6546.7 ms  ✓ Attractors
  211 dependencies successfully precompiled in 226 seconds. 27 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +alpha --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 997.01
	System time (seconds): 58.99
	Percent of CPU this job got: 224%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 7:49.65
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2770268
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 682
	Minor (reclaiming a frame) page faults: 13550431
	Voluntary context switches: 33312
	Involuntary context switches: 130359
	Swaps: 0
	File system inputs: 3320
	File system outputs: 1119944
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
