nice: cannot set niceness: Permission denied
Precompiling packages...
   3400.4 ms  ✓ Accessors → StaticArraysExt
   4884.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2392.3 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   3905.8 ms  ✓ BangBang → BangBangStaticArraysExt
  23321.2 ms  ✓ ForwardDiff
   4587.2 ms  ✓ Roots → RootsForwardDiffExt
   5606.1 ms  ✓ FastPower → FastPowerForwardDiffExt
   6598.7 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  61194.6 ms  ✓ Parsers
  55808.9 ms  ✓ Moshi
  43486.8 ms  ✓ FFTW
  28188.1 ms  ✓ RecursiveArrayTools
  11000.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  10997.8 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   1879.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   2031.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   2102.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   2506.9 ms  ✓ NLSolversBase
  38401.9 ms  ✓ StaticArrayInterface
   6696.7 ms  ✓ JSON
  23439.7 ms  ✓ NearestNeighbors
   1361.3 ms  ✓ CloseOpenIntervals
   1581.9 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
  24719.0 ms  ✓ Distributions
   1700.7 ms  ✓ LayoutPointers
   1710.1 ms  ✓ Neighborhood
   1519.8 ms  ✓ StrideArraysCore
   4514.7 ms  ✓ LineSearches
   3210.7 ms  ✓ Clustering
   2177.1 ms  ✓ Distributions → DistributionsTestExt
   1137.1 ms  ✓ Polyester
    950.1 ms  ✓ FastBroadcast
   3074.7 ms  ✓ StateSpaceSets
    867.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   3195.6 ms  ✓ Optim
   6592.6 ms  ✓ BlackBoxOptim
   2945.6 ms  ✓ DelayEmbeddings
  64546.3 ms  ✓ Polynomials
    752.0 ms  ✓ Polynomials → PolynomialsFFTWExt
  16148.4 ms  ✓ SciMLBase
   2309.9 ms  ✓ DSP
    900.4 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1207.2 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   1953.6 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   2729.4 ms  ✓ Wavelets
   3234.7 ms  ✓ SciMLJacobianOperators
   3134.4 ms  ✓ ComplexityMeasures
