nice: cannot set niceness: Permission denied
Precompiling Pkg...
   4305.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   5396.8 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   5812.0 ms  ✓ Roots → RootsForwardDiffExt
   6694.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
  26284.4 ms  ✓ FFTW
   3799.9 ms  ✓ NLSolversBase
  35436.5 ms  ✓ Moshi
   8923.5 ms  ✓ NearestNeighbors
  17596.9 ms  ✓ Distributions
   3783.7 ms  ✓ Neighborhood
  42413.2 ms  ✓ Parsers
   5124.2 ms  ✓ Clustering
   5503.5 ms  ✓ LineSearches
   1700.9 ms  ✓ StateSpaceSets
   2308.9 ms  ✓ Distributions → DistributionsTestExt
   1681.6 ms  ✓ JSON
   1820.7 ms  ✓ DelayEmbeddings
   2499.6 ms  ✓ Optim
   3317.7 ms  ✓ BlackBoxOptim
  10830.9 ms  ✓ SciMLBase
    997.3 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   1384.4 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   2981.7 ms  ✓ DiffEqBase
   2936.1 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   2992.3 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
  46135.5 ms  ✓ Polynomials
    842.9 ms  ✓ Polynomials → PolynomialsFFTWExt
   4563.5 ms  ✓ OrdinaryDiffEqCore
    819.5 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   2371.7 ms  ✓ DSP
   1899.6 ms  ✓ Wavelets
   5062.3 ms  ✓ OrdinaryDiffEqTsit5
   3022.9 ms  ✓ ComplexityMeasures
   1765.0 ms  ✓ DynamicalSystemsBase
   2667.1 ms  ✓ Attractors
  187 dependencies successfully precompiled in 85 seconds. 23 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.11.6 --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 424.93
	System time (seconds): 37.98
	Percent of CPU this job got: 338%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:16.59
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2064072
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 793
	Minor (reclaiming a frame) page faults: 8829320
	Voluntary context switches: 232955
	Involuntary context switches: 143252
	Swaps: 0
	File system inputs: 0
	File system outputs: 1189960
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
