nice: cannot set niceness: Permission denied
Precompiling packages...
  16700.4 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  55821.8 ms  ✓ Moshi
   4781.7 ms  ✓ NLSolversBase
  35096.7 ms  ✓ StaticArrayInterface
  31093.8 ms  ✓ RecursiveArrayTools
   8390.2 ms  ✓ JSON
  23605.0 ms  ✓ Distributions
   2595.4 ms  ✓ CloseOpenIntervals
  23744.3 ms  ✓ NearestNeighbors
   2825.8 ms  ✓ LayoutPointers
   3328.3 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   2093.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   2132.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   2507.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   1890.1 ms  ✓ StrideArraysCore
   2115.4 ms  ✓ Neighborhood
   2893.8 ms  ✓ Distributions → DistributionsTestExt
   6006.5 ms  ✓ LineSearches
   1293.1 ms  ✓ Polyester
   3295.2 ms  ✓ Clustering
    993.5 ms  ✓ FastBroadcast
   2891.4 ms  ✓ StateSpaceSets
    852.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   3242.3 ms  ✓ Optim
   7498.2 ms  ✓ BlackBoxOptim
   2689.1 ms  ✓ DelayEmbeddings
  62161.0 ms  ✓ Polynomials
    749.1 ms  ✓ Polynomials → PolynomialsFFTWExt
  13914.7 ms  ✓ SciMLBase
    874.3 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   2378.2 ms  ✓ DSP
   1227.8 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   1867.5 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   2624.6 ms  ✓ Wavelets
   3170.5 ms  ✓ SciMLJacobianOperators
   3054.4 ms  ✓ ComplexityMeasures
   6045.1 ms  ✓ NonlinearSolveBase
   1079.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1153.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   3056.1 ms  ✓ BracketingNonlinearSolve
    991.3 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2250.8 ms  ✓ DiffEqBase
   1102.6 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
