nice: cannot set niceness: Permission denied
Precompiling packages...
   4675.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   5726.5 ms  ✓ NLSolversBase
   3899.7 ms  ✓ BangBang → BangBangStaticArraysExt
  38107.1 ms  ✓ Parsers
   1178.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
  15786.7 ms  ✓ Distributions
   1118.2 ms  ✓ LineSearches
   1332.4 ms  ✓ JSON
   1716.0 ms  ✓ Distributions → DistributionsTestExt
  10193.5 ms  ✓ NearestNeighbors
   1015.4 ms  ✓ Neighborhood
   3280.6 ms  ✓ Optim
   1493.4 ms  ✓ Clustering
    869.9 ms  ✓ StateSpaceSets
   3953.4 ms  ✓ BlackBoxOptim
   1920.2 ms  ✓ DelayEmbeddings
  40673.2 ms  ✓ Polynomials
    660.5 ms  ✓ Polynomials → PolynomialsFFTWExt
  11466.2 ms  ✓ SciMLBase
   2022.0 ms  ✓ DSP
    857.3 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1071.5 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   1079.7 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   1480.1 ms  ✓ Wavelets
   1853.5 ms  ✓ SciMLJacobianOperators
   2266.3 ms  ✓ ComplexityMeasures
   3971.4 ms  ✓ NonlinearSolveBase
    849.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1037.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   2649.1 ms  ✓ BracketingNonlinearSolve
    930.6 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   1909.9 ms  ✓ DiffEqBase
    858.9 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1026.5 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   2777.6 ms  ✓ OrdinaryDiffEqCore
   1000.2 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   4652.5 ms  ✓ OrdinaryDiffEqTsit5
   1883.6 ms  ✓ DynamicalSystemsBase
   2947.0 ms  ✓ Attractors
  206 dependencies successfully precompiled in 94 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 299.57
	System time (seconds): 38.52
	Percent of CPU this job got: 355%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:34.97
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 920048
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 547
	Minor (reclaiming a frame) page faults: 9135248
	Voluntary context switches: 259662
	Involuntary context switches: 132531
	Swaps: 0
	File system inputs: 2840
	File system outputs: 762176
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
