nice: cannot set niceness: Permission denied
Precompiling packages...
 timer              0x31480c70->0x7b9ed29de170
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
  30932.8 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
DiffEqBaseForwardDiffExt Waiting for background task / IO / timer.
[pid 3349782] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x18135290->0x7af39fabf550
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   5890.6 ms  ✓ SimpleNonlinearSolve
  41701.6 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   1792.2 ms  ✓ StochasticDiffEqCore
   2063.6 ms  ✓ StochasticDiffEqHighOrder
   2162.5 ms  ✓ DynamicalSystemsBase
   3150.8 ms  ✓ Attractors
  207 dependencies successfully precompiled in 133 seconds
  11 dependencies had output during precompilation:
┌ DiffEqBase → DiffEqBaseForwardDiffExt
│  [pid 3349782] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x18135290->0x7af39fabf550
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
│  [pid 3349707] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0xd5eb010->0x7115f38ae7a0
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ ADTypes → ADTypesConstructionBaseExt
│  [pid 3346868] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x337310d0->0x7f51909c4c10
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ BangBang → BangBangStaticArraysExt
│  [pid 3348653] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x26fe3fd0->0x7ad336a6f5e0
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ Accessors → StaticArraysExt
│  [pid 3348627] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x24b0b0c0->0x7fc3048612a0
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ Accessors → TestExt
│  [pid 3347959] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0xb3315a0->0x75d175f79180
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ StochasticDiffEqCore
