nice: cannot set niceness: Permission denied
Precompiling packages...
   3365.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   1065.2 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2817.3 ms  ✓ DiffEqBase
    966.5 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   4572.5 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   4705.5 ms  ✓ DiffEqNoiseProcess
   7824.3 ms  ✓ SimpleNonlinearSolve
   5112.7 ms  ✓ OrdinaryDiffEqCore
   5347.4 ms  ✓ DiffEqCallbacks
   1128.2 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   1627.6 ms  ✓ DiffEqNoiseProcess → DiffEqNoiseProcessOptimExt
   3012.5 ms  ✓ JumpProcesses
   1544.5 ms  ✓ JumpProcesses → JumpProcessesForwardDiffExt
   1614.7 ms  ✓ JumpProcesses → JumpProcessesOrdinaryDiffEqCoreExt
   2116.8 ms  ✓ StochasticDiffEqCore
   3177.3 ms  ✓ StochasticDiffEqHighOrder
   9669.3 ms  ✓ OrdinaryDiffEqTsit5
   2334.4 ms  ✓ DynamicalSystemsBase
   3459.0 ms  ✓ Attractors
  225 dependencies successfully precompiled in 114 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 399.93
	System time (seconds): 43.77
	Percent of CPU this job got: 385%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:55.17
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 1113408
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 607
	Minor (reclaiming a frame) page faults: 10818186
	Voluntary context switches: 262845
	Involuntary context switches: 131902
	Swaps: 0
	File system inputs: 0
	File system outputs: 1026960
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
