nice: cannot set niceness: Permission denied
Precompiling packages...
   1791.5 ms  ✓ Distributions → DistributionsTestExt
   2199.8 ms  ✓ DelayEmbeddings
   3071.7 ms  ✓ Optim
   6390.9 ms  ✓ BlackBoxOptim
  40802.5 ms  ✓ StaticArrayInterface
    522.1 ms  ✓ CloseOpenIntervals
    612.4 ms  ✓ LayoutPointers
    651.3 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   1182.2 ms  ✓ StrideArraysCore
  15372.9 ms  ✓ SciMLBase
   2194.5 ms  ✓ Polyester
   2521.8 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1657.5 ms  ✓ FastBroadcast
   3191.0 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   3203.0 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
  53525.9 ms  ✓ Polynomials
    652.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
    797.8 ms  ✓ Polynomials → PolynomialsFFTWExt
   1836.2 ms  ✓ DiffEqBase
   1087.2 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   2222.0 ms  ✓ DSP
   1117.5 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   1744.6 ms  ✓ Wavelets
   2969.9 ms  ✓ OrdinaryDiffEqCore
    933.6 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   3075.8 ms  ✓ ComplexityMeasures
   4555.5 ms  ✓ OrdinaryDiffEqTsit5
   1688.9 ms  ✓ DynamicalSystemsBase
   3222.0 ms  ✓ Attractors
  202 dependencies successfully precompiled in 102 seconds. 25 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.1 --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 500.97
	System time (seconds): 45.53
	Percent of CPU this job got: 332%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:44.14
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2135980
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 592
	Minor (reclaiming a frame) page faults: 10886632
	Voluntary context switches: 31917
	Involuntary context switches: 56461
	Swaps: 0
	File system inputs: 2936
	File system outputs: 1010872
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
