nice: cannot set niceness: Permission denied
Precompiling packages...
   1392.1 ms  ✓ Distributions → DistributionsTestExt
   1211.7 ms  ✓ StateSpaceSets
   1738.2 ms  ✓ DelayEmbeddings
  40202.1 ms  ✓ Polynomials
  13663.9 ms  ✓ SciMLBase
  11310.7 ms  ✓ BlackBoxOptim
   2114.3 ms  ✓ Polynomials → PolynomialsRecipesBaseExt
   2131.1 ms  ✓ Polynomials → PolynomialsFFTWExt
   2595.8 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   3498.8 ms  ✓ SciMLBase → SciMLBaseDistributionsExt
   3803.3 ms  ✓ SciMLBase → SciMLBaseStaticArraysExt
   4008.2 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   6437.1 ms  ✓ DSP
   4822.4 ms  ✓ SciMLJacobianOperators
  50344.7 ms  ✓ PrettyTables
   2855.7 ms  ✓ Wavelets
    517.5 ms  ✓ SymbolicIndexingInterface → SymbolicIndexingInterfacePrettyTablesExt
   3715.2 ms  ✓ LineSearch
   1317.0 ms  ✓ LineSearch → LineSearchLineSearchesExt
   3000.8 ms  ✓ TimerOutputs
   3042.3 ms  ✓ ComplexityMeasures
   4308.0 ms  ✓ NonlinearSolveBase
    929.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
    975.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1481.6 ms  ✓ BracketingNonlinearSolve
   3474.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   1067.0 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2985.2 ms  ✓ DiffEqBase
   1023.5 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   4857.0 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   4834.3 ms  ✓ DiffEqNoiseProcess
   8024.2 ms  ✓ SimpleNonlinearSolve
   5345.3 ms  ✓ DiffEqCallbacks
   5383.6 ms  ✓ OrdinaryDiffEqCore
   1622.6 ms  ✓ DiffEqNoiseProcess → DiffEqNoiseProcessOptimExt
   1075.0 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   2825.6 ms  ✓ JumpProcesses
   1536.5 ms  ✓ JumpProcesses → JumpProcessesForwardDiffExt
   1557.6 ms  ✓ JumpProcesses → JumpProcessesOrdinaryDiffEqCoreExt
   2106.6 ms  ✓ StochasticDiffEqCore
   2395.9 ms  ✓ StochasticDiffEqHighOrder
   9407.3 ms  ✓ OrdinaryDiffEqTsit5
   2347.1 ms  ✓ DynamicalSystemsBase
   3454.9 ms  ✓ Attractors
  225 dependencies successfully precompiled in 114 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 396.03
	System time (seconds): 44.31
	Percent of CPU this job got: 383%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:54.91
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 1108964
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 624
	Minor (reclaiming a frame) page faults: 10819618
	Voluntary context switches: 270038
	Involuntary context switches: 132059
	Swaps: 0
	File system inputs: 7960
	File system outputs: 1030024
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
