nice: cannot set niceness: Permission denied
Precompiling packages...
  18188.2 ms  ✓ IntervalArithmetic
   9719.5 ms  ✓ QOI
  13615.0 ms  ✓ StatsBase
   5178.1 ms  ✓ Xorg_libXrender_jll
   3989.4 ms  ✓ Xorg_libXext_jll
   3402.7 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   5623.0 ms  ✓ HypergeometricFunctions
   4408.5 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   3808.0 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   7955.4 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
  11253.9 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   8761.7 ms  ✓ Cairo_jll
   9704.9 ms  ✓ Libglvnd_jll
  14289.7 ms  ✓ Interpolations
  68430.3 ms  ✓ SIMD
   4637.5 ms  ✓ HarfBuzz_jll
  11348.8 ms  ✓ StatsFuns
  69651.9 ms  ✓ Parsers
   5910.6 ms  ✓ libwebp_jll
   3024.0 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   4903.1 ms  ✓ libass_jll
   4934.1 ms  ✓ Pango_jll
  32807.3 ms  ✓ Colors
   8547.1 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   4132.5 ms  ✓ Animations
   4217.5 ms  ✓ Graphics
   8006.4 ms  ✓ FFMPEG_jll
   9206.2 ms  ✓ OpenEXR
   7749.0 ms  ✓ Cairo
  27056.6 ms  ✓ ExactPredicates
  23048.1 ms  ✓ JSON
  48862.1 ms  ✓ FFTW
  25297.9 ms  ✓ Distributions
   7367.2 ms  ✓ ColorBrewer
 117887.0 ms  ✓ Unitful
   5555.5 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   6761.2 ms  ✓ Distributions → DistributionsTestExt
   2499.8 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   2650.5 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   3008.8 ms  ✓ Unitful → PrintfExt
  28302.6 ms  ✓ ColorSchemes
   4545.6 ms  ✓ Interpolations → InterpolationsUnitfulExt
   5901.2 ms  ✓ KernelDensity
  20749.6 ms  ✓ DelaunayTriangulation
  66351.7 ms  ✓ GeometryBasics
  55205.9 ms  ✓ Automa
   7840.4 ms  ✓ Packing
   8218.6 ms  ✓ ShaderAbstractions
   9640.7 ms  ✓ FreeTypeAbstraction
  34046.2 ms  ✓ PlotUtils
  25641.8 ms  ✓ GridLayoutBase
 153360.6 ms  ✓ REPL
  74684.8 ms  ✓ ImageCore
   3298.9 ms  ✓ UnicodeFun
   4940.9 ms  ✓ ImageBase
   4972.4 ms  ✓ WebP
   6234.2 ms  ✓ JpegTurbo
   3421.9 ms  ✓ ImageAxes
   8529.4 ms  ✓ PNGFiles
  10638.4 ms  ✓ Pkg → REPLExt
   2165.7 ms  ✓ ImageMetadata
   3048.6 ms  ✓ Netpbm
   4317.0 ms  ✓ Sixel
  16401.2 ms  ✓ MathTeXEngine
 108249.2 ms  ✓ TiffImages
   1210.2 ms  ✓ ImageIO
 306122.9 ms  ✓ Makie
  91649.0 ms  ✓ CairoMakie
  248 dependencies successfully precompiled in 604 seconds. 25 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.0 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1646.84
	System time (seconds): 78.94
	Percent of CPU this job got: 238%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 12:03.10
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
