Precompiling Pkg...
  37097.1 ms  ✓ SIMD
   4181.5 ms  ✓ HarfBuzz_jll
   2809.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2892.0 ms  ✓ Adapt → AdaptStaticArraysExt
   3051.0 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3098.1 ms  ✓ StructArrays → StructArraysStaticArraysExt
   3785.2 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3514.7 ms  ✓ libwebp_jll
   2798.0 ms  ✓ libass_jll
   2890.5 ms  ✓ Pango_jll
   7415.7 ms  ✓ StatsFuns
   2383.8 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  18544.9 ms  ✓ ColorSchemes
   5805.4 ms  ✓ FFMPEG_jll
   9114.8 ms  ✓ Interpolations
  11497.5 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  17187.6 ms  ✓ ExactPredicates
  14502.9 ms  ✓ Cairo
  55765.2 ms  ✓ Parsers
  37962.4 ms  ✓ FFTW
  17795.8 ms  ✓ Distributions
   3298.4 ms  ✓ JSON
   2582.6 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   2380.2 ms  ✓ ColorBrewer
   4200.2 ms  ✓ Distributions → DistributionsTestExt
  13029.6 ms  ✓ DelaunayTriangulation
   6764.2 ms  ✓ KernelDensity
  88840.8 ms  ✓ Unitful
   1248.2 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   1566.4 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   1737.5 ms  ✓ Unitful → PrintfExt
   2360.6 ms  ✓ Interpolations → InterpolationsUnitfulExt
  40608.2 ms  ✓ GeometryBasics
  42514.9 ms  ✓ Automa
   4792.1 ms  ✓ Packing
   5399.6 ms  ✓ ShaderAbstractions
  35502.9 ms  ✓ PlotUtils
   6282.0 ms  ✓ FreeTypeAbstraction
  58454.1 ms  ✓ ImageCore
  12748.4 ms  ✓ GridLayoutBase
   3408.1 ms  ✓ ImageBase
   3893.3 ms  ✓ WebP
   5265.8 ms  ✓ JpegTurbo
   5362.5 ms  ✓ PNGFiles
   2369.3 ms  ✓ ImageAxes
    871.7 ms  ✓ ImageMetadata
   1453.2 ms  ✓ Netpbm
  62105.0 ms  ✓ TiffImages
  85332.4 ms  ✓ REPL
   1039.6 ms  ✓ UnicodeFun
   4958.4 ms  ✓ Pkg → REPLExt
   2004.6 ms  ✓ Sixel
    836.2 ms  ✓ ImageIO
   4418.0 ms  ✓ MathTeXEngine
 114620.7 ms  ✓ Makie
  38741.2 ms  ✓ CairoMakie
  248 dependencies successfully precompiled in 304 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.6 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 935.49
	System time (seconds): 53.57
	Percent of CPU this job got: 283%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 5:49.30
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4799352
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 863
	Minor (reclaiming a frame) page faults: 14905490
	Voluntary context switches: 315677
	Involuntary context switches: 240950
	Swaps: 0
	File system inputs: 0
	File system outputs: 3834656
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
