nice: cannot set niceness: Permission denied
Precompiling packages...
  10005.9 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   3698.4 ms  ✓ Xorg_libXrender_jll
   5224.3 ms  ✓ HypergeometricFunctions
  45394.1 ms  ✓ StaticArrays
   7706.0 ms  ✓ QOI
   3885.9 ms  ✓ Xorg_libXext_jll
   3295.5 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3399.1 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3494.0 ms  ✓ FillArrays → FillArraysStaticArraysExt
   9331.3 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   3180.7 ms  ✓ Adapt → AdaptStaticArraysExt
  19505.1 ms  ✓ IntervalArithmetic
   5103.2 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
  10010.7 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
  20406.9 ms  ✓ StatsBase
   5962.0 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
  20800.0 ms  ✓ ColorVectorSpace
   8201.0 ms  ✓ Cairo_jll
  10814.1 ms  ✓ StructArrays → StructArraysStaticArraysExt
   3189.4 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
  10090.2 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   4689.9 ms  ✓ PDMats → StatsBaseExt
  11697.5 ms  ✓ Libglvnd_jll
   5097.7 ms  ✓ HarfBuzz_jll
  61604.4 ms  ✓ SIMD
  18054.3 ms  ✓ StatsFuns
  27276.9 ms  ✓ Colors
  64885.1 ms  ✓ Parsers
   2528.3 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   5775.5 ms  ✓ libwebp_jll
   4495.4 ms  ✓ libass_jll
   5200.2 ms  ✓ Pango_jll
   3422.8 ms  ✓ Animations
   7996.1 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  16087.7 ms  ✓ Interpolations
   6213.7 ms  ✓ OpenEXR
   8236.9 ms  ✓ Graphics
