nice: cannot set niceness: Permission denied
Precompiling Pkg...
	Major (requiring I/O) page faults: 938
	Minor (reclaiming a frame) page faults: 14982128
	Voluntary context switches: 312371
	Involuntary context switches: 269097
	Swaps: 0
	File system inputs: 1400
	File system outputs: 3841808
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
