nice: cannot set niceness: Permission denied
Precompiling packages...
   1503.0 ms  ✓ Pango_jll
   3826.6 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   3916.8 ms  ✓ ColorTypes
   1889.8 ms  ✓ FFMPEG_jll
  22923.2 ms  ✓ StaticArrays
   3602.4 ms  ✓ StatsFuns
   2972.2 ms  ✓ QOI
StructArraysAdaptExt Waiting for background task / IO / timer.
[pid 1415401] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x3d808970->0x71835dd80880
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   2573.6 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   2595.0 ms  ✓ Adapt → AdaptStaticArraysExt
   2699.1 ms  ✓ FillArrays → FillArraysStaticArraysExt
   3077.0 ms  ✓ StaticArrays → StaticArraysStatisticsExt
StructArraysSparseArraysExt Waiting for background task / IO / timer.
[pid 1415440] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x37c9ad20->0x7755af922170
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
  26214.7 ms  ✓ SIMD
   2981.1 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1399.1 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   2317.2 ms  ✓ StructArrays → StructArraysStaticArraysExt
   7607.1 ms  ✓ ColorVectorSpace
IntervalArithmeticIntervalSetsExt Waiting for background task / IO / timer.
[pid 1415725] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x86173f0->0x73a659387b80
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   4008.0 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
IntervalArithmeticSparseArraysExt Waiting for background task / IO / timer.
[pid 1415723] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x37cb2c50->0x7da5fc6a19f0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
IntervalArithmeticIrrationalConstantsExt Waiting for background task / IO / timer.
[pid 1415747] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x49f61c0->0x74f3a8eaba90
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   3583.4 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   7014.9 ms  ✓ Interpolations
  34094.2 ms  ✓ Parsers
  22224.9 ms  ✓ StructArrays → StructArraysAdaptExt
  10606.9 ms  ✓ ExactPredicates
  21977.6 ms  ✓ StructArrays → StructArraysSparseArraysExt
  14784.6 ms  ✓ Colors
   2223.7 ms  ✓ Animations
   2506.2 ms  ✓ Graphics
   2519.5 ms  ✓ OpenEXR
  13189.9 ms  ✓ Distributions
  21984.3 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
  22003.3 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
  22197.6 ms  ✓ IntervalArithmetic → IntervalArithmeticIrrationalConstantsExt
   4076.1 ms  ✓ Cairo
   3410.1 ms  ✓ Distributions → DistributionsChainRulesCoreExt
  11590.2 ms  ✓ JSON
  11283.8 ms  ✓ ColorSchemes
  11788.4 ms  ✓ DelaunayTriangulation
  62213.3 ms  ✓ Unitful
   3317.9 ms  ✓ ColorBrewer
   6116.1 ms  ✓ KernelDensity
   1521.0 ms  ✓ Unitful → PrintfExt
  29955.3 ms  ✓ GeometryBasics
  28001.2 ms  ✓ Automa
   1346.9 ms  ✓ Packing
   1780.1 ms  ✓ ShaderAbstractions
   2512.0 ms  ✓ FreeTypeAbstraction
InverseFunctionsUnitfulExt Waiting for background task / IO / timer.
[pid 1416723] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x5ec5170->0x7804023d4460
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
NaNMathExt Waiting for background task / IO / timer.
[pid 1416720] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x1127a920->0x7d9ab4bd45b0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
ConstructionBaseUnitfulExt Waiting for background task / IO / timer.
[pid 1416719] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x1d070480->0x720abb1d43d0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
InterpolationsUnitfulExt Waiting for background task / IO / timer.
[pid 1416726] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x52f5530->0x78192286e800
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   6491.3 ms  ✓ GridLayoutBase
  15287.4 ms  ✓ PlotUtils
   6887.9 ms  ✓ MathTeXEngine
  30929.6 ms  ✓ ImageCore
  22606.0 ms  ✓ Unitful → InverseFunctionsUnitfulExt
  22628.3 ms  ✓ Unitful → NaNMathExt
  22713.0 ms  ✓ Unitful → ConstructionBaseUnitfulExt
  23111.7 ms  ✓ Interpolations → InterpolationsUnitfulExt
   5561.4 ms  ✓ Sixel
   5804.7 ms  ✓ WebP
   5910.6 ms  ✓ JpegTurbo
   6207.1 ms  ✓ ImageBase
  45598.7 ms  ✓ TiffImages
   7366.9 ms  ✓ PNGFiles
   1647.1 ms  ✓ ImageAxes
    962.8 ms  ✓ ImageMetadata
    957.8 ms  ✓ Netpbm
    384.8 ms  ✓ ImageIO
  95246.9 ms  ✓ Makie
  34267.2 ms  ✓ CairoMakie
  246 dependencies successfully precompiled in 230 seconds
  10 dependencies had output during precompilation:
┌ Unitful → NaNMathExt
│  [pid 1416720] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x1127a920->0x7d9ab4bd45b0
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ ConstructionBase → ConstructionBaseIntervalSetsExt
│  [pid 1414164] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x18dbe300->0x70c280ed3f70
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ StructArrays → StructArraysAdaptExt
│  [pid 1415401] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x3d808970->0x71835dd80880
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ IntervalArithmetic → IntervalArithmeticSparseArraysExt
│  [pid 1415723] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x37cb2c50->0x7da5fc6a19f0
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ Unitful → InverseFunctionsUnitfulExt
│  [pid 1416723] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x5ec5170->0x7804023d4460
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
│  [pid 1415725] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x86173f0->0x73a659387b80
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ Unitful → ConstructionBaseUnitfulExt
│  [pid 1416719] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x1d070480->0x720abb1d43d0
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ IntervalArithmetic → IntervalArithmeticIrrationalConstantsExt
│  [pid 1415747] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x49f61c0->0x74f3a8eaba90
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ Interpolations → InterpolationsUnitfulExt
│  [pid 1416726] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x52f5530->0x78192286e800
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ StructArrays → StructArraysSparseArraysExt
│  [pid 1415440] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x37c9ad20->0x7755af922170
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 602.38
	System time (seconds): 51.98
	Percent of CPU this job got: 282%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:51.50
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 3884196
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 715
	Minor (reclaiming a frame) page faults: 12779349
	Voluntary context switches: 301438
	Involuntary context switches: 147347
	Swaps: 0
	File system inputs: 0
	File system outputs: 2617808
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
