nice: cannot set niceness: Permission denied
Precompiling packages...
  21588.6 ms  ✓ ColorSchemes
  20422.7 ms  ✓ Distributions
   9931.9 ms  ✓ Cairo
   3872.0 ms  ✓ Distributions → DistributionsChainRulesCoreExt
 101196.5 ms  ✓ Parsers
  54422.4 ms  ✓ GeometryBasics
   5123.4 ms  ✓ KernelDensity
  12137.2 ms  ✓ DelaunayTriangulation
   2215.6 ms  ✓ GeometryBasics → IntervalSetsExt
   2295.8 ms  ✓ Packing
   4270.8 ms  ✓ ShaderAbstractions
   4581.4 ms  ✓ FreeTypeAbstraction
  21308.4 ms  ✓ PlotUtils
  16101.1 ms  ✓ GridLayoutBase
  27499.5 ms  ✓ JSON
 139781.3 ms  ✓ REPL
   8408.0 ms  ✓ ColorBrewer
  61890.6 ms  ✓ ImageCore
   1953.1 ms  ✓ UnicodeFun
   2826.1 ms  ✓ WebP
   2933.9 ms  ✓ ImageBase
   4199.7 ms  ✓ JpegTurbo
   4672.8 ms  ✓ ImageAxes
   7910.5 ms  ✓ PNGFiles
   2806.0 ms  ✓ ImageMetadata
  12003.8 ms  ✓ Pkg → REPLExt
  86401.2 ms  ✓ TiffImages
   2893.9 ms  ✓ Netpbm
   2240.1 ms  ✓ Sixel
    869.9 ms  ✓ ImageIO
   4714.6 ms  ✓ MathTeXEngine
 137409.5 ms  ✓ Makie
  40933.2 ms  ✓ CairoMakie
  262 dependencies successfully precompiled in 363 seconds. 26 already precompiled.
  24 dependencies precompiled but different versions are currently loaded (ArgTools, Base64, Dates, Downloads, JuliaSyntaxHighlighting, LibCURL, LibCURL_jll, LibGit2, LibGit2_jll, LibSSH2_jll, Logging, Markdown, MozillaCACerts_jll, NetworkOptions, OpenSSL_jll, Pkg, Printf, StyledStrings, TOML, Tar, UUIDs, Zlib_jll, nghttp2_jll and p7zip_jll). Restart julia to access the new versions. Otherwise, 170 dependents of these packages may trigger further precompilation to work with the unexpected versions.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.7 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1187.43
	System time (seconds): 67.28
	Percent of CPU this job got: 293%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 7:07.17
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4549136
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 880
	Minor (reclaiming a frame) page faults: 17297550
	Voluntary context switches: 46769
	Involuntary context switches: 114104
	Swaps: 0
	File system inputs: 0
	File system outputs: 2583576
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
