nice: cannot set niceness: Permission denied
Precompiling packages...
   2800.5 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   7713.5 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3621.6 ms  ✓ Xorg_libX11_jll
   3213.5 ms  ✓ FillArrays → FillArraysPDMatsExt
  13683.9 ms  ✓ SpecialFunctions
  10319.1 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   3896.7 ms  ✓ Xorg_libXrender_jll
   3926.2 ms  ✓ Xorg_libXext_jll
  46808.1 ms  ✓ StaticArrays
   7215.2 ms  ✓ QOI
   5777.0 ms  ✓ Xorg_libXfixes_jll
  17512.9 ms  ✓ IntervalArithmetic
  17815.4 ms  ✓ StatsBase
   6787.9 ms  ✓ HypergeometricFunctions
   3519.1 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3896.6 ms  ✓ FillArrays → FillArraysStaticArraysExt
   5703.6 ms  ✓ Cairo_jll
   4997.4 ms  ✓ Adapt → AdaptStaticArraysExt
   7688.8 ms  ✓ Libglvnd_jll
   6428.1 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
  21094.8 ms  ✓ ColorVectorSpace
  10236.3 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   6894.0 ms  ✓ libva_jll
   5298.5 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   6889.1 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   4797.8 ms  ✓ PDMats → StatsBaseExt
   6287.5 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
  17114.1 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   3689.3 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
  60827.2 ms  ✓ SIMD
   5997.5 ms  ✓ HarfBuzz_jll
  61578.9 ms  ✓ Parsers
   6301.9 ms  ✓ libwebp_jll
  13216.8 ms  ✓ StructArrays → StructArraysStaticArraysExt
  28417.6 ms  ✓ Colors
   4491.3 ms  ✓ libass_jll
   4893.7 ms  ✓ Pango_jll
   2992.2 ms  ✓ Animations
  15212.9 ms  ✓ StatsFuns
   6305.1 ms  ✓ OpenEXR
  14788.8 ms  ✓ Interpolations
   2484.8 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   5990.8 ms  ✓ FFMPEG_jll
   8885.6 ms  ✓ Graphics
   6784.7 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  18414.0 ms  ✓ ExactPredicates
  18211.3 ms  ✓ ColorSchemes
  12297.5 ms  ✓ Cairo
 102418.5 ms  ✓ Unitful
  23908.5 ms  ✓ JSON
   2594.0 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   2679.9 ms  ✓ Unitful → NaNMathExt
   2617.3 ms  ✓ Unitful → PrintfExt
   2703.1 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   3510.6 ms  ✓ Interpolations → InterpolationsUnitfulExt
   3215.2 ms  ✓ ColorBrewer
  20192.6 ms  ✓ Distributions
   3586.4 ms  ✓ Distributions → DistributionsChainRulesCoreExt
  16902.3 ms  ✓ DelaunayTriangulation
   6501.4 ms  ✓ KernelDensity
  42013.2 ms  ✓ Automa
  54045.9 ms  ✓ GeometryBasics
   3541.9 ms  ✓ Packing
  25491.7 ms  ✓ PlotUtils
   5355.3 ms  ✓ ShaderAbstractions
   5634.4 ms  ✓ FreeTypeAbstraction
  10255.3 ms  ✓ GridLayoutBase
  52397.8 ms  ✓ ImageCore
   7914.4 ms  ✓ ImageBase
   7975.8 ms  ✓ WebP
   9683.9 ms  ✓ JpegTurbo
   5692.8 ms  ✓ ImageAxes
  14113.9 ms  ✓ PNGFiles
 113682.1 ms  ✓ REPL
   1802.3 ms  ✓ ImageMetadata
   4132.8 ms  ✓ UnicodeFun
   4693.1 ms  ✓ Netpbm
  77158.9 ms  ✓ TiffImages
   8025.8 ms  ✓ Pkg → REPLExt
   1657.5 ms  ✓ Sixel
    840.8 ms  ✓ ImageIO
   4221.6 ms  ✓ MathTeXEngine
 123678.9 ms  ✓ Makie
  42369.5 ms  ✓ CairoMakie
  248 dependencies successfully precompiled in 340 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.5 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1101.22
	System time (seconds): 66.20
	Percent of CPU this job got: 290%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:41.63
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4233312
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 917
	Minor (reclaiming a frame) page faults: 16724280
	Voluntary context switches: 42850
	Involuntary context switches: 103893
	Swaps: 0
	File system inputs: 512
	File system outputs: 3036760
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
