Precompiling Pkg...
  15533.1 ms  ✓ MathTeXEngine
 150692.6 ms  ✓ TiffImages
   1856.4 ms  ✓ ImageIO
 182516.5 ms  ✓ Makie
  64705.9 ms  ✓ CairoMakie
  247 dependencies successfully precompiled in 487 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.2 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1407.75
	System time (seconds): 69.62
	Percent of CPU this job got: 252%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 9:45.98
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4046724
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 786
	Minor (reclaiming a frame) page faults: 14714618
	Voluntary context switches: 269117
	Involuntary context switches: 499199
	Swaps: 0
	File system inputs: 1544
	File system outputs: 3988960
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
