nice: cannot set niceness: Permission denied
Precompiling packages...
   3494.2 ms  ✓ IntervalArithmetic → IntervalArithmeticIrrationalConstantsExt
   3578.0 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   3409.2 ms  ✓ Libglvnd_jll
   3400.5 ms  ✓ libva_jll
  10009.6 ms  ✓ FixedPointNumbers
   4794.3 ms  ✓ StatsFuns
   2500.9 ms  ✓ Cairo_jll
   2792.9 ms  ✓ PDMats → StatsBaseExt
   6689.1 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   2780.4 ms  ✓ libwebp_jll
   2795.7 ms  ✓ Ratios → RatiosFixedPointNumbersExt
   2485.9 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   2310.1 ms  ✓ HarfBuzz_jll
  28415.3 ms  ✓ StaticArrays
  11933.7 ms  ✓ Roots
   3302.1 ms  ✓ libass_jll
   6804.8 ms  ✓ ColorTypes
   3296.3 ms  ✓ FillArrays → FillArraysStaticArraysExt
  31511.0 ms  ✓ SIMD
   4587.3 ms  ✓ Pango_jll
   7385.8 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   3897.5 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4099.9 ms  ✓ Accessors → StaticArraysExt
   4587.1 ms  ✓ StructArrays → StructArraysStaticArraysExt
   5186.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   5391.1 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   2998.7 ms  ✓ Roots → RootsChainRulesCoreExt
   6315.7 ms  ✓ Adapt → AdaptStaticArraysExt
   4114.3 ms  ✓ QOI
   5224.6 ms  ✓ FFMPEG_jll
  37874.3 ms  ✓ Automa
   7418.0 ms  ✓ ColorVectorSpace
   9489.6 ms  ✓ ExactPredicates
   5879.6 ms  ✓ Interpolations
   1303.2 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
  12884.4 ms  ✓ Colors
  16010.7 ms  ✓ Distributions
   2911.7 ms  ✓ Animations
   2917.8 ms  ✓ Graphics
  63480.6 ms  ✓ Unitful
   4416.7 ms  ✓ OpenEXR
  10897.9 ms  ✓ DelaunayTriangulation
   2814.3 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   2812.2 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   2820.2 ms  ✓ Unitful → NaNMathExt
   2824.5 ms  ✓ Unitful → PrintfExt
   2997.7 ms  ✓ Accessors → UnitfulExt
   3107.5 ms  ✓ Roots → RootsUnitfulExt
   4076.1 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   3816.2 ms  ✓ Interpolations → InterpolationsUnitfulExt
   4293.3 ms  ✓ Cairo
   4915.3 ms  ✓ KernelDensity
  12401.8 ms  ✓ ColorSchemes
  29991.1 ms  ✓ GeometryBasics
   3319.5 ms  ✓ GeometryBasics → IntervalSetsExt
   3499.2 ms  ✓ Packing
   4112.7 ms  ✓ ShaderAbstractions
   5023.9 ms  ✓ FreeTypeAbstraction
   8922.8 ms  ✓ GridLayoutBase
   6761.2 ms  ✓ MathTeXEngine
  71480.7 ms  ✓ Parsers
  14212.7 ms  ✓ PlotUtils
  46406.0 ms  ✓ TiffImages
  34204.2 ms  ✓ ImageCore
   1814.9 ms  ✓ WebP
   1825.9 ms  ✓ Sixel
   1909.7 ms  ✓ JpegTurbo
   2171.1 ms  ✓ ImageBase
   3411.9 ms  ✓ PNGFiles
   1747.0 ms  ✓ ImageAxes
   1920.8 ms  ✓ ImageMetadata
  13795.6 ms  ✓ JSON
   1032.4 ms  ✓ Netpbm
    393.9 ms  ✓ ImageIO
   1444.1 ms  ✓ ColorBrewer
 102750.6 ms  ✓ Makie
   4379.8 ms  ✓ IntervalArithmetic → IntervalArithmeticMakieExt
  32513.0 ms  ✓ CairoMakie
  257 dependencies successfully precompiled in 250 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 668.81
	System time (seconds): 53.93
	Percent of CPU this job got: 287%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:11.25
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4233996
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 669
	Minor (reclaiming a frame) page faults: 13412527
	Voluntary context switches: 295115
	Involuntary context switches: 202286
	Swaps: 0
	File system inputs: 0
	File system outputs: 2186480
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
