nice: cannot set niceness: Permission denied
Precompiling packages...
  22747.6 ms  ✓ PlotUtils
  12601.8 ms  ✓ GridLayoutBase
  58097.8 ms  ✓ ImageCore
   5754.3 ms  ✓ ImageBase
   5915.0 ms  ✓ WebP
 115423.4 ms  ✓ REPL
   7000.4 ms  ✓ JpegTurbo
   3870.9 ms  ✓ UnicodeFun
   4356.5 ms  ✓ ImageAxes
  11730.5 ms  ✓ PNGFiles
   3805.8 ms  ✓ ImageMetadata
  77423.2 ms  ✓ TiffImages
   1896.6 ms  ✓ Netpbm
  10263.0 ms  ✓ Pkg → REPLExt
   1675.3 ms  ✓ Sixel
    860.1 ms  ✓ ImageIO
   4266.4 ms  ✓ MathTeXEngine
 124247.3 ms  ✓ Makie
  90959.0 ms  ✓ CairoMakie
  248 dependencies successfully precompiled in 391 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1182.87
	System time (seconds): 68.09
	Percent of CPU this job got: 276%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 7:33.21
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4314432
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 875
	Minor (reclaiming a frame) page faults: 16849352
	Voluntary context switches: 42900
	Involuntary context switches: 105694
	Swaps: 0
	File system inputs: 0
	File system outputs: 3038776
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
