nice: cannot set niceness: Permission denied
Precompiling packages...
   5788.4 ms  ✓ Glib_jll
   8099.8 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3814.5 ms  ✓ Xorg_libXrender_jll
   3602.7 ms  ✓ Xorg_libXext_jll
  10289.2 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   5010.1 ms  ✓ HypergeometricFunctions
   7301.9 ms  ✓ QOI
   8023.2 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
  16938.4 ms  ✓ IntervalArithmetic
   3900.5 ms  ✓ Cairo_jll
   4684.6 ms  ✓ Libglvnd_jll
   2291.5 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
  15796.9 ms  ✓ StatsBase
  15493.8 ms  ✓ ColorVectorSpace
   2925.5 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   3087.7 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
   3796.2 ms  ✓ HarfBuzz_jll
   3599.4 ms  ✓ libwebp_jll
   1604.0 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   1825.2 ms  ✓ PDMats → StatsBaseExt
  10005.0 ms  ✓ StatsFuns
   3412.2 ms  ✓ libass_jll
  41888.2 ms  ✓ StaticArrays
   3495.4 ms  ✓ Pango_jll
   2389.7 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   3472.2 ms  ✓ Adapt → AdaptStaticArraysExt
   3492.5 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3578.1 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3805.9 ms  ✓ FillArrays → FillArraysStaticArraysExt
   7991.4 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
  26107.9 ms  ✓ Colors
   8063.1 ms  ✓ FFMPEG_jll
  10587.4 ms  ✓ StructArrays → StructArraysStaticArraysExt
   6088.4 ms  ✓ Animations
  13998.0 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
  55198.2 ms  ✓ Parsers
  56383.3 ms  ✓ SIMD
   8693.5 ms  ✓ OpenEXR
  10268.6 ms  ✓ Graphics
  20183.5 ms  ✓ ExactPredicates
  22624.7 ms  ✓ Distributions
  12998.3 ms  ✓ Interpolations
  19403.6 ms  ✓ ColorSchemes
  10922.4 ms  ✓ Cairo
 100923.0 ms  ✓ Unitful
   2978.6 ms  ✓ Unitful → NaNMathExt
   2999.4 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   3194.9 ms  ✓ Unitful → PrintfExt
   3501.9 ms  ✓ Unitful → ConstructionBaseUnitfulExt
  19918.0 ms  ✓ JSON
   4200.5 ms  ✓ Interpolations → InterpolationsUnitfulExt
  12570.1 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   2662.8 ms  ✓ ColorBrewer
   2699.5 ms  ✓ KernelDensity
  16817.4 ms  ✓ DelaunayTriangulation
  47892.8 ms  ✓ GeometryBasics
  35821.6 ms  ✓ Automa
   4099.1 ms  ✓ Packing
  25126.2 ms  ✓ PlotUtils
   5411.1 ms  ✓ ShaderAbstractions
   5703.7 ms  ✓ FreeTypeAbstraction
  59241.0 ms  ✓ ImageCore
  19310.1 ms  ✓ GridLayoutBase
   5745.5 ms  ✓ WebP
   5859.2 ms  ✓ ImageBase
 114173.3 ms  ✓ REPL
   7014.4 ms  ✓ JpegTurbo
   2055.6 ms  ✓ UnicodeFun
   8301.3 ms  ✓ PNGFiles
   2539.3 ms  ✓ ImageAxes
    887.2 ms  ✓ ImageMetadata
   1325.6 ms  ✓ Netpbm
   7450.0 ms  ✓ Pkg → REPLExt
  69910.7 ms  ✓ TiffImages
   4535.4 ms  ✓ Sixel
    904.2 ms  ✓ ImageIO
