nice: cannot set niceness: Permission denied
Precompiling packages...
   4313.8 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   7901.0 ms  ✓ Libglvnd_jll
   4397.6 ms  ✓ PDMats → StatsBaseExt
  26594.7 ms  ✓ Colors
   5001.0 ms  ✓ HarfBuzz_jll
  17788.9 ms  ✓ Interpolations
   4959.6 ms  ✓ Animations
   4258.6 ms  ✓ libass_jll
  11488.1 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   9088.2 ms  ✓ libwebp_jll
   9005.0 ms  ✓ OpenEXR
   5306.7 ms  ✓ Pango_jll
 102498.4 ms  ✓ Unitful
  22993.7 ms  ✓ Roots
  11691.8 ms  ✓ Graphics
   3494.6 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   3999.5 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   8442.8 ms  ✓ FFMPEG_jll
   5541.2 ms  ✓ Unitful → PrintfExt
   4516.2 ms  ✓ Roots → RootsUnitfulExt
   6706.6 ms  ✓ Roots → RootsChainRulesCoreExt
   8216.9 ms  ✓ Accessors → UnitfulExt
   8793.8 ms  ✓ Unitful → NaNMathExt
  25205.5 ms  ✓ ExactPredicates
  10119.7 ms  ✓ Interpolations → InterpolationsUnitfulExt
  22406.0 ms  ✓ ColorSchemes
   8934.1 ms  ✓ Cairo
 101007.2 ms  ✓ Parsers
  14230.9 ms  ✓ Distributions
  51654.8 ms  ✓ GeometryBasics
  12111.4 ms  ✓ DelaunayTriangulation
   2309.7 ms  ✓ Packing
   2412.4 ms  ✓ GeometryBasics → IntervalSetsExt
   7372.4 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   4798.3 ms  ✓ FreeTypeAbstraction
   4946.8 ms  ✓ ShaderAbstractions
   2829.1 ms  ✓ KernelDensity
  20191.4 ms  ✓ PlotUtils
  12432.6 ms  ✓ GridLayoutBase
  21289.0 ms  ✓ JSON
   9892.5 ms  ✓ ColorBrewer
  58291.2 ms  ✓ ImageCore
   7195.0 ms  ✓ WebP
   7228.0 ms  ✓ ImageBase
 124516.7 ms  ✓ REPL
  10017.1 ms  ✓ JpegTurbo
   6475.5 ms  ✓ ImageAxes
   5387.9 ms  ✓ UnicodeFun
  14518.4 ms  ✓ PNGFiles
   2679.5 ms  ✓ ImageMetadata
  88693.0 ms  ✓ TiffImages
   1320.6 ms  ✓ Netpbm
  10158.5 ms  ✓ Pkg → REPLExt
   1687.6 ms  ✓ Sixel
    867.0 ms  ✓ ImageIO
   4273.8 ms  ✓ MathTeXEngine
 134732.5 ms  ✓ Makie
  41670.2 ms  ✓ CairoMakie
  262 dependencies successfully precompiled in 362 seconds. 26 already precompiled.
  24 dependencies precompiled but different versions are currently loaded (ArgTools, Base64, Dates, Downloads, JuliaSyntaxHighlighting, LibCURL, LibCURL_jll, LibGit2, LibGit2_jll, LibSSH2_jll, Logging, Markdown, MozillaCACerts_jll, NetworkOptions, OpenSSL_jll, Pkg, Printf, StyledStrings, TOML, Tar, UUIDs, Zlib_jll, nghttp2_jll and p7zip_jll). Restart julia to access the new versions. Otherwise, 170 dependents of these packages may trigger further precompilation to work with the unexpected versions.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.7 --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1181.84
	System time (seconds): 68.05
	Percent of CPU this job got: 293%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 7:06.36
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4556340
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 839
	Minor (reclaiming a frame) page faults: 17333119
	Voluntary context switches: 45657
	Involuntary context switches: 117568
	Swaps: 0
	File system inputs: 0
	File system outputs: 2585176
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
