nice: cannot set niceness: Permission denied
Precompiling packages...
   1810.8 ms  ✓ UnicodeFun
  18737.8 ms  ✓ PlotUtils
   2913.9 ms  ✓ ImageBase
  46061.7 ms  ✓ TiffImages
   2392.1 ms  ✓ JpegTurbo
    511.8 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   1623.3 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   6120.7 ms  ✓ PNGFiles
    978.7 ms  ✓ Cairo_jll
    946.7 ms  ✓ Libglvnd_jll
   1886.3 ms  ✓ ImageAxes
   1111.3 ms  ✓ HarfBuzz_jll
   7627.1 ms  ✓ ExactPredicates
  10671.8 ms  ✓ Pkg → REPLExt
   1191.4 ms  ✓ libwebp_jll
   1263.7 ms  ✓ ImageMetadata
   5361.0 ms  ✓ Distributions
    798.0 ms  ✓ libass_jll
    841.5 ms  ✓ Pango_jll
   1581.6 ms  ✓ Netpbm
   2173.1 ms  ✓ Sixel
   1911.4 ms  ✓ WebP
    998.0 ms  ✓ Distributions → DistributionsChainRulesCoreExt
   1078.2 ms  ✓ FFMPEG_jll
   1323.7 ms  ✓ Cairo
   4026.1 ms  ✓ DelaunayTriangulation
   1029.6 ms  ✓ ImageIO
   1242.4 ms  ✓ KernelDensity
   5379.9 ms  ✓ MathTeXEngine
 142419.9 ms  ✓ Makie
  47657.2 ms  ✓ CairoMakie
  241 dependencies successfully precompiled in 300 seconds. 27 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +nightly --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 826.59
	System time (seconds): 48.63
	Percent of CPU this job got: 226%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:26.69
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 3846268
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 1364
	Minor (reclaiming a frame) page faults: 17289532
	Voluntary context switches: 46618
	Involuntary context switches: 23965
	Swaps: 0
	File system inputs: 184616
	File system outputs: 3027200
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
