nice: cannot set niceness: Permission denied
Precompiling packages...
   2050.4 ms  ✓ IteratorInterfaceExtensions
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   3621.4 ms  ✓ FFMPEG_jll
   7306.8 ms  ✓ StatsFuns
   8609.1 ms  ✓ Interpolations
   3588.3 ms  ✓ QOI
  29312.0 ms  ✓ SIMD
   1397.1 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
  11802.5 ms  ✓ ExactPredicates
   3589.4 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   7440.9 ms  ✓ ColorVectorSpace
StructArraysSparseArraysExt Waiting for background task / IO / timer.
[pid 2679280] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x36849300->0x76ffef521db0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   1690.2 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   8792.6 ms  ✓ JSON
  22102.6 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
  11530.6 ms  ✓ Colors
  22125.2 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   2379.5 ms  ✓ Animations
   2383.9 ms  ✓ Graphics
   2678.3 ms  ✓ OpenEXR
   2797.8 ms  ✓ ColorBrewer
   9479.5 ms  ✓ DelaunayTriangulation
  12096.1 ms  ✓ Distributions
  32394.4 ms  ✓ StructArrays → StructArraysSparseArraysExt
   4890.5 ms  ✓ Cairo
   3998.2 ms  ✓ Distributions → DistributionsChainRulesCoreExt
  61797.0 ms  ✓ Unitful
  11544.4 ms  ✓ ColorSchemes
   3085.5 ms  ✓ Unitful → PrintfExt
  30848.4 ms  ✓ GeometryBasics
   4198.6 ms  ✓ KernelDensity
   2747.1 ms  ✓ Packing
   4668.8 ms  ✓ ShaderAbstractions
  24774.0 ms  ✓ Automa
   5459.2 ms  ✓ FreeTypeAbstraction
   8719.1 ms  ✓ GridLayoutBase
InverseFunctionsUnitfulExt Waiting for background task / IO / timer.
[pid 2680585] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x283e79c0->0x740f4f3d41f0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
NaNMathExt Waiting for background task / IO / timer.
[pid 2680582] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x1d81c170->0x7f7eec9d4340
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
ConstructionBaseUnitfulExt Waiting for background task / IO / timer.
[pid 2680581] waiting for IO to finish:
 Handle type        uv_handle_t->data
