Precompiling Pkg...
   2702.9 ms  ✓ ColorTypes → StyledStringsExt
   2867.2 ms  ✓ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
   2993.1 ms  ✓ IntervalArithmetic → IntervalArithmeticSparseArraysExt
  12083.7 ms  ✓ ColorVectorSpace
   3222.4 ms  ✓ Cairo_jll
   3523.3 ms  ✓ IntervalArithmetic → IntervalArithmeticLinearAlgebraExt
   4277.8 ms  ✓ Libglvnd_jll
   4013.8 ms  ✓ HypergeometricFunctions
   1999.3 ms  ✓ ColorVectorSpace → SpecialFunctionsExt
   2982.9 ms  ✓ HarfBuzz_jll
   3706.7 ms  ✓ libwebp_jll
   7508.0 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
  32211.1 ms  ✓ StaticArrays
   4205.2 ms  ✓ Pango_jll
   4479.3 ms  ✓ libass_jll
  34097.6 ms  ✓ SIMD
   3205.3 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3411.4 ms  ✓ Adapt → AdaptStaticArraysExt
   3583.2 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3483.8 ms  ✓ StructArrays → StructArraysStaticArraysExt
   3590.5 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   8491.7 ms  ✓ StatsFuns
  22511.9 ms  ✓ Colors
   2487.5 ms  ✓ StatsFuns → StatsFunsInverseFunctionsExt
   4914.3 ms  ✓ FFMPEG_jll
   2899.1 ms  ✓ Animations
   2909.5 ms  ✓ Graphics
   6518.1 ms  ✓ StatsFuns → StatsFunsChainRulesCoreExt
   6794.2 ms  ✓ OpenEXR
   7796.0 ms  ✓ Cairo
  13000.4 ms  ✓ Interpolations
  21603.6 ms  ✓ ExactPredicates
  36968.2 ms  ✓ FFTW
  18098.7 ms  ✓ ColorSchemes
  21119.6 ms  ✓ Distributions
  57003.0 ms  ✓ Parsers
   4402.6 ms  ✓ Distributions → DistributionsChainRulesCoreExt
  85238.2 ms  ✓ Unitful
   5493.4 ms  ✓ Distributions → DistributionsTestExt
   6121.3 ms  ✓ JSON
   2361.8 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   2316.4 ms  ✓ Unitful → PrintfExt
   2323.0 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   1787.8 ms  ✓ ColorBrewer
   3507.3 ms  ✓ Interpolations → InterpolationsUnitfulExt
   4329.4 ms  ✓ KernelDensity
  13299.6 ms  ✓ DelaunayTriangulation
  38089.8 ms  ✓ Automa
  42447.7 ms  ✓ GeometryBasics
   2225.8 ms  ✓ Packing
   3135.4 ms  ✓ ShaderAbstractions
   5025.4 ms  ✓ FreeTypeAbstraction
  23295.9 ms  ✓ PlotUtils
  47156.0 ms  ✓ ImageCore
  11482.8 ms  ✓ GridLayoutBase
   2593.9 ms  ✓ ImageBase
   3082.7 ms  ✓ WebP
   4443.2 ms  ✓ JpegTurbo
   4533.8 ms  ✓ PNGFiles
   2298.7 ms  ✓ ImageAxes
    878.1 ms  ✓ ImageMetadata
   3304.6 ms  ✓ Netpbm
  64073.1 ms  ✓ TiffImages
  87997.4 ms  ✓ REPL
   1041.2 ms  ✓ UnicodeFun
   4930.0 ms  ✓ Pkg → REPLExt
   1999.9 ms  ✓ Sixel
    856.5 ms  ✓ ImageIO
   4471.4 ms  ✓ MathTeXEngine
