nice: cannot set niceness: Permission denied
Precompiling packages...
 Handle type        uv_handle_t->data
 timer              0x3f27be30->0x74950ccc32b0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
  20642.5 ms  ✓ KernelAbstractions → SparseArraysExt
  20656.9 ms  ✓ KernelAbstractions → EnzymeExt
  31173.7 ms  ✓ BangBang → BangBangStructArraysExt
   2277.9 ms  ✓ GPUArrays
    810.0 ms  ✓ MLDataDevices → GPUArraysSparseArraysExt
   3183.7 ms  ✓ NNlib
BangBangStaticArraysExt Waiting for background task / IO / timer.
[pid 2001613] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x1bf912d0->0x7fbb57889ab0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   2362.4 ms  ✓ NNlib → NNlibSpecialFunctionsExt
   2565.4 ms  ✓ OneHotArrays
   2672.5 ms  ✓ NNlib → NNlibEnzymeCoreExt
   3072.8 ms  ✓ NNlib → NNlibForwardDiffExt
   1683.5 ms  ✓ MLDataDevices → OneHotArraysExt
  20064.3 ms  ✓ Zygote
    797.9 ms  ✓ MLDataDevices → ZygoteExt
  30632.2 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
  41755.9 ms  ✓ BangBang → BangBangStaticArraysExt
   3356.2 ms  ✓ MLUtils
    923.2 ms  ✓ MLDataDevices → MLUtilsExt
   4017.9 ms  ✓ Flux
  153 dependencies successfully precompiled in 80 seconds
  11 dependencies had output during precompilation:
┌ BangBang → BangBangStaticArraysExt
│  [pid 2001613] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x1bf912d0->0x7fbb57889ab0
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ Accessors → StaticArraysExt
│  [pid 2001610] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x2fe49d60->0x760fcf0ab460
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ KernelAbstractions → SparseArraysExt
│  [pid 2001811] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x2e7f8280->0x7601847f6110
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ Accessors → TestExt
│  [pid 2001039] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x303dfdc0->0x7b95131a7250
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ Accessors → StructArraysExt
│  [pid 2001041] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x28246c10->0x751c78baab30
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ StructArrays → StructArraysGPUArraysCoreExt
│  [pid 2001817] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x3f27be30->0x74950ccc32b0
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ StructArrays → StructArraysStaticArraysExt
│  [pid 2001608] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0xa3e12d0->0x71f68c001db0
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ BangBang → BangBangStructArraysExt
│  [pid 2001344] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x2e739860->0x7f8f0c6844c0
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ MLDataDevices → SparseArraysExt
│  [pid 2001101] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x1ed8e1a0->0x78538016efe0
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ StructArrays → StructArraysAdaptExt
│  [pid 2000857] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x3be58310->0x7c24c00e9ab0
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ KernelAbstractions → EnzymeExt
│  [pid 2001814] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x1f7e3610->0x79345c70b0a0
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=F/Flux/Basic-Model-Gradient -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 196.89
	System time (seconds): 27.17
	Percent of CPU this job got: 275%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:21.37
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 932312
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 347
	Minor (reclaiming a frame) page faults: 6570426
	Voluntary context switches: 188549
	Involuntary context switches: 67424
	Swaps: 0
	File system inputs: 0
	File system outputs: 514280
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
