nice: cannot set niceness: Permission denied
Precompiling packages...
   5572.2 ms  ✓ DiffEqBase
   2276.4 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
  10355.8 ms  ✓ NonlinearSolveSpectralMethods
   1667.5 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   6927.8 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   8394.3 ms  ✓ OrdinaryDiffEqCore
  10322.6 ms  ✓ SimpleNonlinearSolve
   1391.3 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   4715.5 ms  ✓ OrdinaryDiffEqDifferentiation
   2400.4 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
  18032.7 ms  ✓ OrdinaryDiffEqTsit5
  31983.2 ms  ✓ NonlinearSolveQuasiNewton
   2108.1 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  31770.7 ms  ✓ OrdinaryDiffEqVerner
  49199.3 ms  ✓ NonlinearSolveFirstOrder
  49802.4 ms  ✓ OrdinaryDiffEqRosenbrock
  51839.7 ms  ✓ NonlinearSolve
   4534.3 ms  ✓ OrdinaryDiffEqNonlinearSolve
  31260.4 ms  ✓ OrdinaryDiffEqSDIRK
  24306.7 ms  ✓ OrdinaryDiffEqBDF
  65856.2 ms  ✓ OrdinaryDiffEqDefault
   3578.7 ms  ✓ OrdinaryDiffEq
  158 dependencies successfully precompiled in 366 seconds. 26 already precompiled.
  24 dependencies precompiled but different versions are currently loaded (ArgTools, Base64, Dates, Downloads, JuliaSyntaxHighlighting, LibCURL, LibCURL_jll, LibGit2, LibGit2_jll, LibSSH2_jll, Logging, Markdown, MozillaCACerts_jll, NetworkOptions, OpenSSL_jll, Pkg, Printf, StyledStrings, TOML, Tar, UUIDs, Zlib_jll, nghttp2_jll and p7zip_jll). Restart julia to access the new versions. Otherwise, 109 dependents of these packages may trigger further precompilation to work with the unexpected versions.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1217.49
	System time (seconds): 52.62
	Percent of CPU this job got: 295%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 7:10.34
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2933052
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 873
	Minor (reclaiming a frame) page faults: 15516434
	Voluntary context switches: 35743
	Involuntary context switches: 70006
	Swaps: 0
	File system inputs: 0
	File system outputs: 2320328
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
