Precompiling Pkg...
  11413.0 ms  ✓ OrdinaryDiffEqFeagin
   9197.3 ms  ✓ OrdinaryDiffEqQPRK
  11705.4 ms  ✓ OrdinaryDiffEqRKN
  11951.4 ms  ✓ OrdinaryDiffEqStabilizedRK
  13440.1 ms  ✓ OrdinaryDiffEqSSPRK
   4894.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   2899.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   4014.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   3100.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseDiffEqBaseExt
   4502.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
  14787.0 ms  ✓ OrdinaryDiffEqLowOrderRK
   9172.6 ms  ✓ OrdinaryDiffEqLowStorageRK
  19146.6 ms  ✓ OrdinaryDiffEqTsit5
   4959.3 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
   8510.9 ms  ✓ BracketingNonlinearSolve
   1193.8 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2202.1 ms  ✓ OrdinaryDiffEqNordsieck
   1228.8 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
  11997.9 ms  ✓ NonlinearSolveSpectralMethods
  27019.9 ms  ✓ LinearSolve
   1718.4 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   3390.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   3458.9 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   4470.6 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   6782.3 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
  18166.7 ms  ✓ SimpleNonlinearSolve
   2630.6 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveDiffEqBaseExt
