Precompiling Pkg...
   6938.0 ms  ✓ FastGaussQuadrature
   3608.7 ms  ✓ NLSolversBase
  37852.6 ms  ✓ ArrayLayouts
   1444.5 ms  ✓ LineSearches
    569.8 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
   3962.6 ms  ✓ Graphs
   1576.5 ms  ✓ LazyArrays
    659.2 ms  ✓ VertexSafeGraphs
    842.0 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   1511.9 ms  ✓ SparseDiffTools
   5879.4 ms  ✓ SciMLBase
    985.0 ms  ✓ SparseDiffTools → SparseDiffToolsPolyesterExt
    690.2 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   2045.3 ms  ✓ SciMLJacobianOperators
   3732.0 ms  ✓ DiffEqBase
   1580.3 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   1815.0 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   2074.6 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   3959.3 ms  ✓ LineSearch
    961.8 ms  ✓ LineSearch → LineSearchLineSearchesExt
   3781.4 ms  ✓ OrdinaryDiffEqCore
   5820.7 ms  ✓ NonlinearSolveBase
   1686.9 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   3448.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   3457.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   3532.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseDiffEqBaseExt
   3847.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   4441.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   8007.2 ms  ✓ OrdinaryDiffEqFunctionMap
  10914.4 ms  ✓ OrdinaryDiffEqSymplecticRK
  11026.0 ms  ✓ OrdinaryDiffEqExplicitRK
   9692.6 ms  ✓ OrdinaryDiffEqPRK
  12223.1 ms  ✓ OrdinaryDiffEqHighOrderRK
   9408.3 ms  ✓ OrdinaryDiffEqQPRK
  12602.6 ms  ✓ OrdinaryDiffEqStabilizedRK
  10600.7 ms  ✓ OrdinaryDiffEqFeagin
  11513.9 ms  ✓ OrdinaryDiffEqRKN
  13993.7 ms  ✓ OrdinaryDiffEqSSPRK
  17752.5 ms  ✓ BracketingNonlinearSolve
  16510.9 ms  ✓ OrdinaryDiffEqLowOrderRK
  28457.2 ms  ✓ LinearSolve
   3491.1 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
  13179.6 ms  ✓ OrdinaryDiffEqLowStorageRK
  23294.9 ms  ✓ OrdinaryDiffEqTsit5
   6798.4 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
   4968.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   4979.7 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   2340.4 ms  ✓ OrdinaryDiffEqNordsieck
  17293.3 ms  ✓ NonlinearSolveSpectralMethods
   8403.6 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
   1630.0 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   5953.7 ms  ✓ OrdinaryDiffEqDifferentiation
  21301.5 ms  ✓ SimpleNonlinearSolve
  76386.3 ms  ✓ ExponentialUtilities
   2513.8 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   2707.6 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveDiffEqBaseExt
   1601.0 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
  12312.1 ms  ✓ OrdinaryDiffEqExtrapolation
  21639.8 ms  ✓ NonlinearSolveQuasiNewton
   3318.0 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  33256.2 ms  ✓ NonlinearSolveFirstOrder
  31794.3 ms  ✓ OrdinaryDiffEqRosenbrock
  64997.0 ms  ✓ OrdinaryDiffEqVerner
   1434.3 ms  ✓ OrdinaryDiffEqLinear
   9573.9 ms  ✓ NonlinearSolve
   3192.4 ms  ✓ OrdinaryDiffEqNonlinearSolve
   3624.3 ms  ✓ OrdinaryDiffEqIMEXMultistep
   3665.9 ms  ✓ OrdinaryDiffEqStabilizedIRK
   3989.9 ms  ✓ OrdinaryDiffEqPDIRK
   4874.0 ms  ✓ OrdinaryDiffEqSDIRK
   3292.1 ms  ✓ OrdinaryDiffEqExponentialRK
  14841.3 ms  ✓ OrdinaryDiffEqFIRK
  10688.7 ms  ✓ OrdinaryDiffEqBDF
  17427.0 ms  ✓ OrdinaryDiffEqDefault
   3423.8 ms  ✓ OrdinaryDiffEq
  221 dependencies successfully precompiled in 172 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.3 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 705.36
	System time (seconds): 54.99
	Percent of CPU this job got: 350%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:36.88
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2024768
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 1037
	Minor (reclaiming a frame) page faults: 13274248
	Voluntary context switches: 299192
	Involuntary context switches: 122780
	Swaps: 0
	File system inputs: 0
	File system outputs: 1625112
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
