nice: cannot set niceness: Permission denied
Precompiling packages...
   6512.3 ms  ✓ OrdinaryDiffEqIMEXMultistep
   6637.6 ms  ✓ OrdinaryDiffEqStabilizedIRK
   7411.6 ms  ✓ OrdinaryDiffEqPDIRK
   8299.7 ms  ✓ OrdinaryDiffEqSDIRK
  16909.6 ms  ✓ OrdinaryDiffEqBDF
  31271.3 ms  ✓ OrdinaryDiffEqFIRK
  43762.4 ms  ✓ OrdinaryDiffEqDefault
   5797.1 ms  ✓ OrdinaryDiffEq
  210 dependencies successfully precompiled in 299 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1228.16
	System time (seconds): 69.06
	Percent of CPU this job got: 317%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:49.17
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2203304
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 705
	Minor (reclaiming a frame) page faults: 15427463
	Voluntary context switches: 32951
	Involuntary context switches: 224465
	Swaps: 0
	File system inputs: 392
	File system outputs: 1551960
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
