nice: cannot set niceness: Permission denied
Precompiling packages...
  40097.6 ms  ✓ OrdinaryDiffEqRosenbrock
  16572.6 ms  ✓ NonlinearSolve
   5513.6 ms  ✓ OrdinaryDiffEqNonlinearSolve
   6311.6 ms  ✓ OrdinaryDiffEqStabilizedIRK
   6375.9 ms  ✓ OrdinaryDiffEqIMEXMultistep
   6967.9 ms  ✓ OrdinaryDiffEqPDIRK
   7864.9 ms  ✓ OrdinaryDiffEqSDIRK
  14896.8 ms  ✓ OrdinaryDiffEqBDF
  29060.7 ms  ✓ OrdinaryDiffEqFIRK
  30802.1 ms  ✓ OrdinaryDiffEqDefault
   4998.4 ms  ✓ OrdinaryDiffEq
  211 dependencies successfully precompiled in 272 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.5 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1099.65
	System time (seconds): 63.74
	Percent of CPU this job got: 319%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:04.23
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2216336
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 673
	Minor (reclaiming a frame) page faults: 15640077
	Voluntary context switches: 35617
	Involuntary context switches: 149262
	Swaps: 0
	File system inputs: 1576
	File system outputs: 1577128
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
