nice: cannot set niceness: Permission denied
Precompiling packages...
   1946.2 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   8441.6 ms  ✓ NonlinearSolveSpectralMethods
   1002.9 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   4847.1 ms  ✓ OrdinaryDiffEqCore
  10877.6 ms  ✓ OrdinaryDiffEqFunctionMap
  11400.2 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
  12781.1 ms  ✓ OrdinaryDiffEqPRK
  13485.5 ms  ✓ OrdinaryDiffEqSymplecticRK
  14377.9 ms  ✓ OrdinaryDiffEqExplicitRK
  14377.2 ms  ✓ OrdinaryDiffEqFeagin
  14888.1 ms  ✓ OrdinaryDiffEqStabilizedRK
  14895.6 ms  ✓ OrdinaryDiffEqHighOrderRK
  21230.2 ms  ✓ SimpleNonlinearSolve
  15379.7 ms  ✓ OrdinaryDiffEqSSPRK
  15791.2 ms  ✓ OrdinaryDiffEqRKN
  17187.0 ms  ✓ OrdinaryDiffEqLowOrderRK
   3607.4 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   8619.1 ms  ✓ OrdinaryDiffEqQPRK
   8766.3 ms  ✓ OrdinaryDiffEqLinear
  10884.1 ms  ✓ OrdinaryDiffEqLowStorageRK
  22484.7 ms  ✓ OrdinaryDiffEqTsit5
   5848.2 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
  10589.4 ms  ✓ OrdinaryDiffEqDifferentiation
   2220.5 ms  ✓ OrdinaryDiffEqNordsieck
   2245.6 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
  40167.2 ms  ✓ NonlinearSolveQuasiNewton
   7196.9 ms  ✓ OrdinaryDiffEqExponentialRK
   2630.7 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
   7848.3 ms  ✓ OrdinaryDiffEqExtrapolation
  43644.3 ms  ✓ OrdinaryDiffEqVerner
  57938.4 ms  ✓ NonlinearSolveFirstOrder
  25509.1 ms  ✓ OrdinaryDiffEqRosenbrock
  11463.9 ms  ✓ NonlinearSolve
   3570.5 ms  ✓ OrdinaryDiffEqNonlinearSolve
   3862.6 ms  ✓ OrdinaryDiffEqIMEXMultistep
   3902.8 ms  ✓ OrdinaryDiffEqStabilizedIRK
   4291.1 ms  ✓ OrdinaryDiffEqPDIRK
   5055.1 ms  ✓ OrdinaryDiffEqSDIRK
  11807.2 ms  ✓ OrdinaryDiffEqBDF
  18683.7 ms  ✓ OrdinaryDiffEqFIRK
  20037.7 ms  ✓ OrdinaryDiffEqDefault
   3751.1 ms  ✓ OrdinaryDiffEq
  211 dependencies successfully precompiled in 213 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 850.95
	System time (seconds): 59.16
	Percent of CPU this job got: 330%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:35.10
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2192092
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 845
	Minor (reclaiming a frame) page faults: 15639512
	Voluntary context switches: 38867
	Involuntary context switches: 61338
	Swaps: 0
	File system inputs: 16
	File system outputs: 1563784
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
