nice: cannot set niceness: Permission denied
Precompiling packages...
   4319.8 ms  ✓ OrdinaryDiffEqCore
   7101.1 ms  ✓ NonlinearSolveBase
   1623.2 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   3079.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   3678.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseChainRulesCoreExt
   4890.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   5024.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   5224.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   9743.0 ms  ✓ OrdinaryDiffEqFunctionMap
  12196.4 ms  ✓ OrdinaryDiffEqExplicitRK
  13486.9 ms  ✓ OrdinaryDiffEqSymplecticRK
  14403.2 ms  ✓ OrdinaryDiffEqHighOrderRK
  10998.0 ms  ✓ OrdinaryDiffEqQPRK
  15002.0 ms  ✓ OrdinaryDiffEqStabilizedRK
  13501.2 ms  ✓ OrdinaryDiffEqPRK
  13306.1 ms  ✓ OrdinaryDiffEqRKN
  15855.7 ms  ✓ OrdinaryDiffEqSSPRK
  12830.9 ms  ✓ OrdinaryDiffEqFeagin
  18182.0 ms  ✓ BracketingNonlinearSolve
  18043.2 ms  ✓ OrdinaryDiffEqLowOrderRK
  24855.6 ms  ✓ LinearSolve
  14868.1 ms  ✓ OrdinaryDiffEqLowStorageRK
  10158.0 ms  ✓ OrdinaryDiffEqLinear
   3306.2 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   3732.5 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
  24956.7 ms  ✓ OrdinaryDiffEqTsit5
   7114.6 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
   6904.7 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   7080.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   8613.4 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   2604.5 ms  ✓ OrdinaryDiffEqNordsieck
  10658.0 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
  17726.0 ms  ✓ NonlinearSolveSpectralMethods
   1408.7 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
  13632.0 ms  ✓ SimpleNonlinearSolve
   1178.4 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   6018.3 ms  ✓ OrdinaryDiffEqDifferentiation
   2472.1 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
   7014.3 ms  ✓ OrdinaryDiffEqExponentialRK
  10309.2 ms  ✓ OrdinaryDiffEqExtrapolation
  20213.2 ms  ✓ NonlinearSolveQuasiNewton
  51754.5 ms  ✓ OrdinaryDiffEqVerner
   3691.8 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  29414.7 ms  ✓ NonlinearSolveFirstOrder
  27223.0 ms  ✓ OrdinaryDiffEqRosenbrock
  10520.3 ms  ✓ NonlinearSolve
   3526.2 ms  ✓ OrdinaryDiffEqNonlinearSolve
   3890.3 ms  ✓ OrdinaryDiffEqStabilizedIRK
   3902.3 ms  ✓ OrdinaryDiffEqIMEXMultistep
   4301.0 ms  ✓ OrdinaryDiffEqPDIRK
   5160.1 ms  ✓ OrdinaryDiffEqSDIRK
   9914.8 ms  ✓ OrdinaryDiffEqBDF
  18312.3 ms  ✓ OrdinaryDiffEqFIRK
  21477.9 ms  ✓ OrdinaryDiffEqDefault
   3654.1 ms  ✓ OrdinaryDiffEq
