nice: cannot set niceness: Permission denied
Precompiling Pkg...
   2166.8 ms  ✓ NLSolversBase
   1745.2 ms  ✓ LineSearches
   7101.9 ms  ✓ SciMLBase
  18857.0 ms  ✓ ArrayLayouts
   1382.0 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1731.5 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   1081.1 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
   2683.5 ms  ✓ DiffEqBase
   3793.1 ms  ✓ SciMLJacobianOperators
   1898.7 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   2137.2 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   2590.3 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   3621.0 ms  ✓ LazyArrays
   2473.2 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   7992.3 ms  ✓ OrdinaryDiffEqCore
   9484.9 ms  ✓ LineSearch
   4528.8 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   4741.0 ms  ✓ LineSearch → LineSearchLineSearchesExt
  63868.6 ms  ✓ ExplicitImports
   9767.4 ms  ✓ OrdinaryDiffEqFunctionMap
  11712.4 ms  ✓ OrdinaryDiffEqExplicitRK
  12829.4 ms  ✓ OrdinaryDiffEqPRK
  12997.6 ms  ✓ OrdinaryDiffEqSymplecticRK
  13007.6 ms  ✓ OrdinaryDiffEqRKN
  24661.0 ms  ✓ NonlinearSolveBase
  13863.1 ms  ✓ OrdinaryDiffEqHighOrderRK
  11158.4 ms  ✓ OrdinaryDiffEqFeagin
  14557.7 ms  ✓ OrdinaryDiffEqStabilizedRK
   9140.4 ms  ✓ OrdinaryDiffEqQPRK
   3945.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
  17195.3 ms  ✓ OrdinaryDiffEqSSPRK
   4295.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseDiffEqBaseExt
  17507.9 ms  ✓ OrdinaryDiffEqLowOrderRK
   4713.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   4811.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   4945.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
  11797.7 ms  ✓ OrdinaryDiffEqLowStorageRK
   4360.7 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
  23691.2 ms  ✓ OrdinaryDiffEqTsit5
  10636.8 ms  ✓ BracketingNonlinearSolve
   1568.8 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2901.4 ms  ✓ OrdinaryDiffEqNordsieck
   3499.0 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
  36597.2 ms  ✓ LinearSolve
  15149.9 ms  ✓ NonlinearSolveSpectralMethods
   5677.5 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   2811.3 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   5815.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   6772.0 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
  10758.4 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
  91553.4 ms  ✓ ExponentialUtilities
  23224.4 ms  ✓ SimpleNonlinearSolve
   3382.7 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
  10901.6 ms  ✓ OrdinaryDiffEqDifferentiation
   2383.6 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   2410.2 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveDiffEqBaseExt
   4461.3 ms  ✓ OrdinaryDiffEqLinear
   2550.0 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
