Precompiling Pkg...
   1249.5 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
  12230.6 ms  ✓ NonlinearSolveSpectralMethods
  26855.6 ms  ✓ LinearSolve
   1693.6 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   3508.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   3547.4 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   4490.3 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   6937.6 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
  18902.9 ms  ✓ SimpleNonlinearSolve
   2527.4 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   2537.1 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveDiffEqBaseExt
  72687.4 ms  ✓ ExponentialUtilities
  10279.7 ms  ✓ OrdinaryDiffEqDifferentiation
   1631.2 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
   2632.9 ms  ✓ OrdinaryDiffEqLinear
  10280.4 ms  ✓ OrdinaryDiffEqExponentialRK
  12598.7 ms  ✓ OrdinaryDiffEqExtrapolation
  27103.5 ms  ✓ NonlinearSolveQuasiNewton
  61651.8 ms  ✓ OrdinaryDiffEqVerner
   2271.2 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  35852.3 ms  ✓ NonlinearSolveFirstOrder
  30399.1 ms  ✓ OrdinaryDiffEqRosenbrock
   9770.5 ms  ✓ NonlinearSolve
   3238.3 ms  ✓ OrdinaryDiffEqNonlinearSolve
   3735.0 ms  ✓ OrdinaryDiffEqIMEXMultistep
   3793.0 ms  ✓ OrdinaryDiffEqStabilizedIRK
   4301.7 ms  ✓ OrdinaryDiffEqPDIRK
   5181.3 ms  ✓ OrdinaryDiffEqSDIRK
  10940.1 ms  ✓ OrdinaryDiffEqBDF
  16574.5 ms  ✓ OrdinaryDiffEqFIRK
  20199.3 ms  ✓ OrdinaryDiffEqDefault
   3609.4 ms  ✓ OrdinaryDiffEq
  211 dependencies successfully precompiled in 178 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.6 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 717.98
	System time (seconds): 50.83
	Percent of CPU this job got: 344%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:43.22
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2034084
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 891
	Minor (reclaiming a frame) page faults: 13165314
	Voluntary context switches: 274638
	Involuntary context switches: 124640
	Swaps: 0
	File system inputs: 0
	File system outputs: 2011256
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
