Precompiling Pkg...
   1266.4 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2120.6 ms  ✓ OrdinaryDiffEqNordsieck
   1321.3 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
  12728.5 ms  ✓ NonlinearSolveSpectralMethods
  28240.8 ms  ✓ LinearSolve
   1899.0 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   3560.7 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   3682.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   4697.3 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   7927.4 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
  18903.3 ms  ✓ SimpleNonlinearSolve
   2145.8 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   2336.6 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveDiffEqBaseExt
  74517.6 ms  ✓ ExponentialUtilities
   1514.8 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
   9653.0 ms  ✓ OrdinaryDiffEqDifferentiation
   2606.5 ms  ✓ OrdinaryDiffEqLinear
  10658.6 ms  ✓ OrdinaryDiffEqExponentialRK
  12645.0 ms  ✓ OrdinaryDiffEqExtrapolation
  26777.8 ms  ✓ NonlinearSolveQuasiNewton
  62150.3 ms  ✓ OrdinaryDiffEqVerner
   2120.0 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  35218.8 ms  ✓ NonlinearSolveFirstOrder
  30210.8 ms  ✓ OrdinaryDiffEqRosenbrock
   9974.3 ms  ✓ NonlinearSolve
   3295.6 ms  ✓ OrdinaryDiffEqNonlinearSolve
   3743.9 ms  ✓ OrdinaryDiffEqIMEXMultistep
   3802.1 ms  ✓ OrdinaryDiffEqStabilizedIRK
   4237.8 ms  ✓ OrdinaryDiffEqPDIRK
   5158.6 ms  ✓ OrdinaryDiffEqSDIRK
  15855.2 ms  ✓ OrdinaryDiffEqFIRK
  10775.2 ms  ✓ OrdinaryDiffEqBDF
  20194.6 ms  ✓ OrdinaryDiffEqDefault
   3616.4 ms  ✓ OrdinaryDiffEq
  211 dependencies successfully precompiled in 180 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.7 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 722.66
	System time (seconds): 51.36
	Percent of CPU this job got: 343%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:45.45
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2042504
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 859
	Minor (reclaiming a frame) page faults: 13207397
	Voluntary context switches: 282913
	Involuntary context switches: 132596
	Swaps: 0
	File system inputs: 35576
	File system outputs: 2011208
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
