nice: cannot set niceness: Permission denied
Precompiling Pkg...
   1792.6 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   1878.2 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   2055.5 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   2990.8 ms  ✓ LazyArrays
   4118.9 ms  ✓ OrdinaryDiffEqCore
   1047.5 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   3945.0 ms  ✓ LineSearch
   1083.4 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   3984.9 ms  ✓ LineSearch → LineSearchLineSearchesExt
   9126.8 ms  ✓ OrdinaryDiffEqFunctionMap
  10881.2 ms  ✓ OrdinaryDiffEqExplicitRK
  15263.9 ms  ✓ NonlinearSolveBase
  10897.1 ms  ✓ OrdinaryDiffEqFeagin
  11036.4 ms  ✓ OrdinaryDiffEqHighOrderRK
  11668.3 ms  ✓ OrdinaryDiffEqPRK
  11805.5 ms  ✓ OrdinaryDiffEqRKN
  12376.8 ms  ✓ OrdinaryDiffEqSymplecticRK
  13035.3 ms  ✓ OrdinaryDiffEqStabilizedRK
  10298.6 ms  ✓ OrdinaryDiffEqQPRK
   4236.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   3607.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseChainRulesCoreExt
  15487.6 ms  ✓ OrdinaryDiffEqSSPRK
   4904.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   5040.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
  16068.5 ms  ✓ OrdinaryDiffEqLowOrderRK
   5558.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
  10467.9 ms  ✓ OrdinaryDiffEqLowStorageRK
   4420.5 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
  22202.5 ms  ✓ OrdinaryDiffEqTsit5
  10510.9 ms  ✓ BracketingNonlinearSolve
   1460.8 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2468.6 ms  ✓ OrdinaryDiffEqNordsieck
   1833.0 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
  29661.9 ms  ✓ LinearSolve
  15808.4 ms  ✓ NonlinearSolveSpectralMethods
   2570.6 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   5301.8 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   5488.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   7491.4 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
  12096.4 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
  21426.1 ms  ✓ SimpleNonlinearSolve
  79128.6 ms  ✓ ExponentialUtilities
   1734.6 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   2011.3 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
   2766.5 ms  ✓ OrdinaryDiffEqLinear
   8060.4 ms  ✓ OrdinaryDiffEqDifferentiation
   2421.5 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
  15010.4 ms  ✓ OrdinaryDiffEqExponentialRK
  16408.9 ms  ✓ OrdinaryDiffEqExtrapolation
  69375.9 ms  ✓ OrdinaryDiffEqVerner
  29056.2 ms  ✓ NonlinearSolveQuasiNewton
