Precompiling Pkg...
   7997.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   8093.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
  22003.8 ms  ✓ OrdinaryDiffEqLowOrderRK
   8225.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseDiffEqBaseExt
  15305.1 ms  ✓ OrdinaryDiffEqLowStorageRK
  17490.3 ms  ✓ OrdinaryDiffEqQPRK
  39009.4 ms  ✓ LinearSolve
   9830.0 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
  77605.1 ms  ✓ ExponentialUtilities
  32016.4 ms  ✓ OrdinaryDiffEqTsit5
  19236.8 ms  ✓ BracketingNonlinearSolve
   3180.5 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
   3973.8 ms  ✓ OrdinaryDiffEqNordsieck
   4825.4 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   5062.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   1869.2 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   7837.2 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
  17368.6 ms  ✓ NonlinearSolveSpectralMethods
   1707.4 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   5225.6 ms  ✓ OrdinaryDiffEqDifferentiation
  15039.6 ms  ✓ SimpleNonlinearSolve
   2265.4 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   9524.0 ms  ✓ OrdinaryDiffEqExtrapolation
   2301.8 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveDiffEqBaseExt
  18541.4 ms  ✓ NonlinearSolveQuasiNewton
   7819.3 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  33216.8 ms  ✓ NonlinearSolveFirstOrder
  73221.7 ms  ✓ OrdinaryDiffEqVerner
   4939.6 ms  ✓ OrdinaryDiffEqLinear
  33750.4 ms  ✓ OrdinaryDiffEqRosenbrock
  11589.3 ms  ✓ NonlinearSolve
   3783.9 ms  ✓ OrdinaryDiffEqNonlinearSolve
   4369.3 ms  ✓ OrdinaryDiffEqIMEXMultistep
   4439.6 ms  ✓ OrdinaryDiffEqStabilizedIRK
   4828.5 ms  ✓ OrdinaryDiffEqPDIRK
   5865.6 ms  ✓ OrdinaryDiffEqSDIRK
   4111.5 ms  ✓ OrdinaryDiffEqExponentialRK
  19217.3 ms  ✓ OrdinaryDiffEqFIRK
  14172.7 ms  ✓ OrdinaryDiffEqBDF
  23730.6 ms  ✓ OrdinaryDiffEqDefault
   4041.3 ms  ✓ OrdinaryDiffEq
  216 dependencies successfully precompiled in 213 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.5 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 869.69
	System time (seconds): 57.89
	Percent of CPU this job got: 336%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:35.60
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2047636
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 899
	Minor (reclaiming a frame) page faults: 13432738
	Voluntary context switches: 276424
	Involuntary context switches: 196638
	Swaps: 0
	File system inputs: 0
	File system outputs: 2030640
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
