nice: cannot set niceness: Permission denied
Precompiling Pkg...
   1614.2 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   1939.5 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1949.3 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   3302.5 ms  ✓ LazyArrays
   4054.2 ms  ✓ OrdinaryDiffEqCore
    998.3 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   4060.6 ms  ✓ LineSearch
   1086.4 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   4032.7 ms  ✓ LineSearch → LineSearchLineSearchesExt
   8483.9 ms  ✓ OrdinaryDiffEqFunctionMap
  13878.9 ms  ✓ NonlinearSolveBase
  10137.7 ms  ✓ OrdinaryDiffEqPRK
  10291.5 ms  ✓ OrdinaryDiffEqSymplecticRK
  10665.4 ms  ✓ OrdinaryDiffEqExplicitRK
  11443.6 ms  ✓ OrdinaryDiffEqRKN
  13594.6 ms  ✓ OrdinaryDiffEqHighOrderRK
  13752.3 ms  ✓ OrdinaryDiffEqStabilizedRK
  14000.7 ms  ✓ OrdinaryDiffEqFeagin
  14144.7 ms  ✓ OrdinaryDiffEqSSPRK
   4094.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   5459.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
  11504.1 ms  ✓ OrdinaryDiffEqQPRK
   4267.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseChainRulesCoreExt
   5695.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   5571.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
  16006.9 ms  ✓ OrdinaryDiffEqLowOrderRK
  10775.8 ms  ✓ OrdinaryDiffEqLowStorageRK
   5135.4 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
  22172.0 ms  ✓ OrdinaryDiffEqTsit5
   8928.4 ms  ✓ BracketingNonlinearSolve
   1335.6 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2334.1 ms  ✓ OrdinaryDiffEqNordsieck
   2336.3 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
  30470.2 ms  ✓ LinearSolve
  15094.7 ms  ✓ NonlinearSolveSpectralMethods
   2148.1 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   3969.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   4462.1 ms  ✓ LinearSolve → LinearSolveEnzymeExt
