nice: cannot set niceness: Permission denied
Precompiling packages...
   3733.9 ms  ✓ BracketingNonlinearSolve
   1246.3 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   1237.3 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2153.6 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   1380.5 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
   2625.3 ms  ✓ DiffEqBase
   1423.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   6399.8 ms  ✓ NonlinearSolveSpectralMethods
   1820.7 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1783.4 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   1711.2 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   1875.7 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   3924.3 ms  ✓ OrdinaryDiffEqCore
   2292.6 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
  11096.4 ms  ✓ SimpleNonlinearSolve
   9529.2 ms  ✓ OrdinaryDiffEqFunctionMap
  11120.5 ms  ✓ OrdinaryDiffEqLinear
  11469.6 ms  ✓ OrdinaryDiffEqSymplecticRK
  11697.4 ms  ✓ OrdinaryDiffEqPRK
  10206.7 ms  ✓ OrdinaryDiffEqQPRK
  12469.5 ms  ✓ OrdinaryDiffEqHighOrderRK
  12616.0 ms  ✓ OrdinaryDiffEqFeagin
  12808.1 ms  ✓ OrdinaryDiffEqRKN
  12873.2 ms  ✓ OrdinaryDiffEqExplicitRK
  13352.6 ms  ✓ OrdinaryDiffEqStabilizedRK
  13902.2 ms  ✓ OrdinaryDiffEqSSPRK
  16226.7 ms  ✓ OrdinaryDiffEqLowOrderRK
   5135.5 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
  25904.6 ms  ✓ NonlinearSolveQuasiNewton
  19927.9 ms  ✓ OrdinaryDiffEqTsit5
  10520.9 ms  ✓ OrdinaryDiffEqLowStorageRK
   9032.0 ms  ✓ OrdinaryDiffEqDifferentiation
   4537.1 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
   2983.3 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
   1834.6 ms  ✓ OrdinaryDiffEqNordsieck
   1804.4 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
   3122.2 ms  ✓ OrdinaryDiffEqExponentialRK
   3821.2 ms  ✓ OrdinaryDiffEqExtrapolation
  39433.8 ms  ✓ NonlinearSolveFirstOrder
  15846.8 ms  ✓ NonlinearSolve
  51988.1 ms  ✓ OrdinaryDiffEqVerner
   5442.4 ms  ✓ OrdinaryDiffEqNonlinearSolve
  31257.7 ms  ✓ OrdinaryDiffEqRosenbrock
   2889.5 ms  ✓ OrdinaryDiffEqIMEXMultistep
   2946.6 ms  ✓ OrdinaryDiffEqStabilizedIRK
   3247.0 ms  ✓ OrdinaryDiffEqPDIRK
   4070.3 ms  ✓ OrdinaryDiffEqSDIRK
  13956.1 ms  ✓ OrdinaryDiffEqFIRK
  10406.1 ms  ✓ OrdinaryDiffEqBDF
  18563.9 ms  ✓ OrdinaryDiffEqDefault
   2816.7 ms  ✓ OrdinaryDiffEq
  208 dependencies successfully precompiled in 164 seconds
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +lts --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 585.78
	System time (seconds): 46.88
	Percent of CPU this job got: 384%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:44.66
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 1401216
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 726
	Minor (reclaiming a frame) page faults: 11849169
	Voluntary context switches: 271438
	Involuntary context switches: 112748
	Swaps: 0
	File system inputs: 10576
	File system outputs: 1374264
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
