nice: cannot set niceness: Permission denied
Precompiling Pkg...
   2036.3 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   4796.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   5069.0 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   6181.7 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   9956.2 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
  20294.8 ms  ✓ SimpleNonlinearSolve
  76295.0 ms  ✓ ExponentialUtilities
   2169.5 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   2378.7 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveDiffEqBaseExt
   1649.2 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
  10099.7 ms  ✓ OrdinaryDiffEqDifferentiation
   2406.6 ms  ✓ OrdinaryDiffEqLinear
  10102.8 ms  ✓ OrdinaryDiffEqExponentialRK
  12908.2 ms  ✓ OrdinaryDiffEqExtrapolation
  27544.5 ms  ✓ NonlinearSolveQuasiNewton
  65798.8 ms  ✓ OrdinaryDiffEqVerner
   2513.2 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  37480.0 ms  ✓ NonlinearSolveFirstOrder
  32793.8 ms  ✓ OrdinaryDiffEqRosenbrock
  11355.7 ms  ✓ NonlinearSolve
   3623.0 ms  ✓ OrdinaryDiffEqNonlinearSolve
   3943.8 ms  ✓ OrdinaryDiffEqIMEXMultistep
   3997.5 ms  ✓ OrdinaryDiffEqStabilizedIRK
   4520.4 ms  ✓ OrdinaryDiffEqPDIRK
   5389.2 ms  ✓ OrdinaryDiffEqSDIRK
  11594.4 ms  ✓ OrdinaryDiffEqBDF
  17180.5 ms  ✓ OrdinaryDiffEqFIRK
  21924.7 ms  ✓ OrdinaryDiffEqDefault
   3575.6 ms  ✓ OrdinaryDiffEq
  212 dependencies successfully precompiled in 189 seconds. 23 already precompiled.
