nice: cannot set niceness: Permission denied
Precompiling Pkg...
   3050.5 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   8048.6 ms  ✓ OrdinaryDiffEqCore
   8651.6 ms  ✓ LineSearch
   4201.9 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
   4854.4 ms  ✓ LineSearch → LineSearchLineSearchesExt
  64273.1 ms  ✓ ExplicitImports
  19646.0 ms  ✓ NonlinearSolveBase
  10360.8 ms  ✓ OrdinaryDiffEqFunctionMap
  10661.3 ms  ✓ OrdinaryDiffEqSymplecticRK
  12629.3 ms  ✓ OrdinaryDiffEqPRK
  13143.5 ms  ✓ OrdinaryDiffEqExplicitRK
  13406.1 ms  ✓ OrdinaryDiffEqStabilizedRK
  13873.4 ms  ✓ OrdinaryDiffEqHighOrderRK
  14764.2 ms  ✓ OrdinaryDiffEqRKN
  13643.9 ms  ✓ OrdinaryDiffEqFeagin
   5543.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   3996.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   6655.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   3956.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseDiffEqBaseExt
   5368.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
  18165.2 ms  ✓ OrdinaryDiffEqSSPRK
  11131.8 ms  ✓ OrdinaryDiffEqQPRK
  18209.2 ms  ✓ OrdinaryDiffEqLowOrderRK
  12160.9 ms  ✓ OrdinaryDiffEqLowStorageRK
   5543.0 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
  23951.8 ms  ✓ OrdinaryDiffEqTsit5
  10457.4 ms  ✓ BracketingNonlinearSolve
   1379.6 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2322.1 ms  ✓ OrdinaryDiffEqNordsieck
   2504.2 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
  36202.5 ms  ✓ LinearSolve
  14236.9 ms  ✓ NonlinearSolveSpectralMethods
   2020.9 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   4505.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   4708.7 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   5843.1 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   7356.4 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
  22510.8 ms  ✓ SimpleNonlinearSolve
  93368.5 ms  ✓ ExponentialUtilities
   2142.2 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   2158.1 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveDiffEqBaseExt
  12728.2 ms  ✓ OrdinaryDiffEqDifferentiation
   2026.0 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
   2857.1 ms  ✓ OrdinaryDiffEqLinear
   2834.8 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
  13574.9 ms  ✓ OrdinaryDiffEqExponentialRK
  31075.3 ms  ✓ NonlinearSolveQuasiNewton
  15699.8 ms  ✓ OrdinaryDiffEqExtrapolation
   2695.6 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  73287.7 ms  ✓ OrdinaryDiffEqVerner
  40560.5 ms  ✓ NonlinearSolveFirstOrder
  33396.0 ms  ✓ OrdinaryDiffEqRosenbrock
  11813.0 ms  ✓ NonlinearSolve
   3884.4 ms  ✓ OrdinaryDiffEqNonlinearSolve
   4241.5 ms  ✓ OrdinaryDiffEqIMEXMultistep
   4384.2 ms  ✓ OrdinaryDiffEqStabilizedIRK
   4862.8 ms  ✓ OrdinaryDiffEqPDIRK
   5909.8 ms  ✓ OrdinaryDiffEqSDIRK
  12572.3 ms  ✓ OrdinaryDiffEqBDF
  19231.7 ms  ✓ OrdinaryDiffEqFIRK
  22848.3 ms  ✓ OrdinaryDiffEqDefault
   4018.8 ms  ✓ OrdinaryDiffEq
  214 dependencies successfully precompiled in 212 seconds. 23 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.11.6 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 868.42
	System time (seconds): 62.55
	Percent of CPU this job got: 352%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:24.09
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2061412
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 920
	Minor (reclaiming a frame) page faults: 13687131
	Voluntary context switches: 288214
	Involuntary context switches: 169355
	Swaps: 0
	File system inputs: 0
	File system outputs: 2162560
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
