nice: cannot set niceness: Permission denied
Precompiling packages...
   1975.7 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   2817.9 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1772.6 ms  ✓ LayoutPointers
   2890.5 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1800.1 ms  ✓ CloseOpenIntervals
   1201.4 ms  ✓ StrideArraysCore
   4512.2 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
  45444.2 ms  ✓ ExponentialUtilities
    715.1 ms  ✓ Polyester
   3511.2 ms  ✓ LazyArrays
    645.9 ms  ✓ FastBroadcast
   1344.4 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
    583.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1149.9 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   3687.9 ms  ✓ SciMLJacobianOperators
   2026.4 ms  ✓ DiffEqBase
   1796.0 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   1851.1 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1899.5 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   4007.4 ms  ✓ LineSearch
    919.2 ms  ✓ LineSearch → LineSearchLineSearchesExt
   3755.0 ms  ✓ OrdinaryDiffEqCore
    943.4 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreEnzymeCoreExt
  12418.5 ms  ✓ NonlinearSolveBase
  10291.0 ms  ✓ OrdinaryDiffEqFunctionMap
  11910.3 ms  ✓ OrdinaryDiffEqQPRK
  13215.2 ms  ✓ OrdinaryDiffEqSymplecticRK
  13915.3 ms  ✓ OrdinaryDiffEqExplicitRK
  13998.9 ms  ✓ OrdinaryDiffEqFeagin
  14212.7 ms  ✓ OrdinaryDiffEqPRK
  14913.6 ms  ✓ OrdinaryDiffEqLinear
  14995.3 ms  ✓ OrdinaryDiffEqHighOrderRK
  15583.3 ms  ✓ OrdinaryDiffEqRKN
  15621.8 ms  ✓ OrdinaryDiffEqStabilizedRK
  17519.4 ms  ✓ OrdinaryDiffEqSSPRK
   7428.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   4503.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   4778.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseChainRulesCoreExt
   6001.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   7470.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
  25838.9 ms  ✓ LinearSolve
  19517.9 ms  ✓ OrdinaryDiffEqLowOrderRK
  16113.0 ms  ✓ OrdinaryDiffEqLowStorageRK
  25781.8 ms  ✓ OrdinaryDiffEqTsit5
   6995.2 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
   7109.5 ms  ✓ LinearSolve → LinearSolveEnzymeExt
  12611.7 ms  ✓ BracketingNonlinearSolve
   8660.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   1702.8 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   9383.6 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   3114.2 ms  ✓ OrdinaryDiffEqNordsieck
  10482.3 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
   1761.9 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
  15108.3 ms  ✓ NonlinearSolveSpectralMethods
   1415.9 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   6381.3 ms  ✓ OrdinaryDiffEqDifferentiation
  10813.1 ms  ✓ SimpleNonlinearSolve
   3923.3 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
   1369.2 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   7178.6 ms  ✓ OrdinaryDiffEqExponentialRK
  10402.2 ms  ✓ OrdinaryDiffEqExtrapolation
  24130.4 ms  ✓ NonlinearSolveQuasiNewton
  54069.5 ms  ✓ OrdinaryDiffEqVerner
   2321.1 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  31227.5 ms  ✓ NonlinearSolveFirstOrder
  26797.8 ms  ✓ OrdinaryDiffEqRosenbrock
  10989.2 ms  ✓ NonlinearSolve
   3449.5 ms  ✓ OrdinaryDiffEqNonlinearSolve
   3810.6 ms  ✓ OrdinaryDiffEqIMEXMultistep
   3817.4 ms  ✓ OrdinaryDiffEqStabilizedIRK
   4208.1 ms  ✓ OrdinaryDiffEqPDIRK
   5006.0 ms  ✓ OrdinaryDiffEqSDIRK
  10836.6 ms  ✓ OrdinaryDiffEqBDF
  18060.4 ms  ✓ OrdinaryDiffEqFIRK
  20872.3 ms  ✓ OrdinaryDiffEqDefault
   3627.5 ms  ✓ OrdinaryDiffEq
  212 dependencies successfully precompiled in 207 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 863.91
	System time (seconds): 61.59
	Percent of CPU this job got: 345%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:28.03
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
